symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,reason
ETHUSDT,GHST_BE,SHORT,3313.81,3304.64,3406.4364285714287,3128.5571428571425,114.44,0.28,TIME,2026-01-15 02:45:00,2026-01-16 12:05:00,400,2,GHST_BE: Supply zone retest [3316-3403] Q=1 RSI=36
ETHUSDT,GHST_BE,SHORT,3305.42,3307.87,3406.155357142857,3128.0,-103.43,-0.07,TIME,2026-01-16 14:30:00,2026-01-17 23:50:00,400,2,GHST_BE: Supply zone retest [3316-3403] Q=1 RSI=47
ETHUSDT,GHST_BE,SHORT,2944.56,2976.575714285714,2976.575714285714,2880.5285714285715,-1432.18,-1.09,SL,2026-01-20 23:40:00,2026-01-21 03:35:00,47,2,GHST_BE: Supply zone retest [2944-2971] Q=1 RSI=56
ETHUSDT,GHST_BE,SHORT,2959.43,2974.451785714286,2974.451785714286,2929.3864285714276,-729.14,-0.51,SL,2026-01-21 08:40:00,2026-01-21 09:35:00,11,2,GHST_BE: Supply zone retest [2944-2971] Q=1 RSI=36
ETHUSDT,GHST_BE,SHORT,2963.92,2944.442857142857,2973.6585714285716,2944.442857142857,666.71,0.66,TARGET,2026-01-21 10:55:00,2026-01-21 11:55:00,12,1,GHST_BE: Supply zone retest [2944-2971] Q=1 RSI=47
ETHUSDT,GHST_SE,LONG,2872.98,2943.75,2786.445357142857,2943.75,2833.23,2.46,TARGET,2026-01-25 18:15:00,2026-01-26 15:10:00,251,7,GHST_SE: Demand zone retest [2791-2864] Q=5 RSI=33
ETHUSDT,GHST_SE,LONG,2822.03,2783.0975,2783.0975,2899.895000000001,-1789.86,-1.38,SL,2026-01-29 15:15:00,2026-01-29 18:30:00,39,7,GHST_SE: Demand zone retest [2791-2864] Q=5 RSI=8
ETHUSDT,GHST_SE,LONG,2802.01,2802.01,2782.2957142857144,2841.438571428572,-120.21,0.0,SL,2026-01-29 19:30:00,2026-01-30 01:00:00,66,6,GHST_SE: Demand zone retest [2791-2864] Q=5 RSI=47
ETHUSDT,GHST_SE,LONG,2715.4,2704.8135714285713,2704.8135714285713,2736.5728571428576,-588.38,-0.39,SL,2026-01-30 02:25:00,2026-01-30 02:30:00,1,5,GHST_SE: Demand zone retest [2716-2758] Q=3 RSI=21
ETHUSDT,GHST_SE,LONG,2741.18,2741.18,2712.3903571428573,2798.759285714285,-119.83,0.0,SL,2026-01-30 03:50:00,2026-01-30 06:05:00,27,3,GHST_SE: Demand zone retest [2716-2758] Q=3 RSI=53
