S.No,Date,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Capital_Used,PnL,PnL_Pct,Exit_Reason,Delta,IV,Status
17,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60801.56142857143,30,2026-02-23T09:33:50.558680,2026-02-23T09:39:40.657223,260.32,212.53,7809.6,1327.43,17.0,TARGET_HIT,-0.3183,15.0,CLOSED
18,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60764.51142857143,30,2026-02-23T09:39:25.579509,2026-02-23T09:45:15.087838,257.75,217.63,7732.5,1097.3,14.19,TARGET_HIT,-0.3174,15.0,CLOSED
19,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82605.23714285715,20,2026-02-23T09:39:28.752390,2026-02-23T09:45:18.311433,301.46,266.27,6029.2,600.03,9.95,TARGET_HIT,-0.2994,15.0,CLOSED
20,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60709.211428571434,30,2026-02-23T09:45:02.101488,2026-02-23T09:50:56.002367,254.46,189.63,7633.8,1839.0,24.09,TARGET_HIT,-0.3162,15.0,CLOSED
21,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60711.89142857143,30,2026-02-23T09:50:39.595558,2026-02-23T09:56:34.563726,247.81,199.65,7434.3,1339.02,18.01,TARGET_HIT,-0.3093,15.0,CLOSED
22,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82612.87714285715,20,2026-02-23T09:50:41.152290,2026-02-23T09:56:37.270730,301.85,269.11,6037.0,550.88,9.13,TARGET_HIT,-0.2996,15.0,CLOSED
23,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60700.74142857143,30,2026-02-23T09:56:16.176089,2026-02-23T10:02:21.313330,247.27,190.27,7418.1,1604.47,21.63,TARGET_HIT,-0.3091,15.0,CLOSED
24,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82577.55714285716,20,2026-02-23T09:56:18.000729,2026-02-23T10:02:23.884757,300.45,262.42,6009.0,656.85,10.93,TARGET_HIT,-0.2991,15.0,CLOSED
25,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60744.61142857143,30,2026-02-23T10:02:02.740755,2026-02-23T10:07:59.693537,256.47,203.28,7694.1,1489.66,19.36,TARGET_HIT,-0.3169,15.0,CLOSED
26,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82575.23714285715,20,2026-02-23T10:02:04.459924,2026-02-23T10:08:02.155396,300.4,264.06,6008.0,622.99,10.37,TARGET_HIT,-0.2991,15.0,CLOSED
27,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60721.24142857143,30,2026-02-23T10:07:43.763863,2026-02-23T10:13:43.925409,248.5,204.1,7455.0,1226.22,16.45,TARGET_HIT,-0.3096,15.0,CLOSED
28,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82579.92714285715,20,2026-02-23T10:07:45.173263,2026-02-23T10:13:46.404796,300.57,277.56,6011.4,356.2,5.93,TARGET_HIT,-0.2992,15.0,CLOSED
29,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60691.24142857143,30,2026-02-23T10:13:23.993505,2026-02-23T10:19:29.195034,246.76,165.45,7402.8,2334.17,31.53,TARGET_HIT,-0.3089,15.0,CLOSED
30,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82512.49714285714,20,2026-02-23T10:13:25.631164,2026-02-23T10:19:31.650506,298.16,237.8,5963.2,1103.68,18.51,TARGET_HIT,-0.2984,15.0,CLOSED
31,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60771.29142857143,30,2026-02-23T10:19:06.888379,2026-02-23T10:25:24.344326,251.96,204.65,7558.8,1313.43,17.38,TARGET_HIT,-0.3109,15.0,CLOSED
32,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82581.26714285715,20,2026-02-23T10:19:10.123871,2026-02-23T10:25:26.871274,300.66,265.71,6013.2,595.21,9.9,TARGET_HIT,-0.2992,15.0,CLOSED
33,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60782.31142857143,30,2026-02-23T10:25:01.163369,2026-02-23T10:31:12.964708,259.11,216.52,7773.3,1171.22,15.07,TARGET_HIT,-0.3179,15.0,CLOSED
34,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82570.14714285715,20,2026-02-23T10:25:03.637190,2026-02-23T10:31:15.766487,300.22,281.51,6004.4,270.32,4.5,TARGET_HIT,-0.299,15.0,CLOSED
