S.No,Symbol,Strategy,Entry Time,Exit Time,Per lot,No fo lots,Entry,Target,SL,Exit,Amount Invested,Amount After Close,PnL,Balance,Status,PnL %,Spot Price,Delta,Exit Reason
39,SENSEX 82794 PE,Survivor,18/02/2026 10:12,18/02/2026 10:18,20,1,236.4,47.28,354.6,187.61,4728.0,3752.2,975.8,215143.6,Closed,20.6,82793.64,-0.3251,TARGET_HIT
40,NIFTY 25518 PE,Survivor,18/02/2026 10:18,18/02/2026 10:23,65,1,75.74,15.15,113.61,56.35,4923.1,3662.75,1260.35,216403.95,Closed,25.6,25517.71,-0.3303,TARGET_HIT
41,BANKNIFTY 60885 PE,Survivor,18/02/2026 10:18,18/02/2026 10:24,30,1,194.55,38.91,291.83,135.5,5836.5,4065.0,1771.5,218175.45,Closed,30.4,60885.39,-0.3359,TARGET_HIT
42,SENSEX 82751 PE,Survivor,18/02/2026 10:18,18/02/2026 10:24,20,1,235.26,47.05,352.89,173.11,4705.2,3462.2,1243.0,219418.45,Closed,26.4,82751.24,-0.3245,TARGET_HIT
43,NIFTY 25528 PE,Survivor,18/02/2026 10:23,18/02/2026 10:29,65,1,75.98,15.2,113.97,60.52,4938.7,3933.8,1004.9,220423.35,Closed,20.3,25527.96,-0.3306,TARGET_HIT
44,BANKNIFTY 60893 PE,Survivor,18/02/2026 10:23,18/02/2026 10:29,30,1,194.84,38.97,292.26,140.69,5845.2,4220.7,1624.5,222047.85,Closed,27.8,60892.99,-0.336,TARGET_HIT
45,SENSEX 82786 PE,Survivor,18/02/2026 10:23,18/02/2026 10:29,20,1,236.09,47.22,354.13,193.72,4721.8,3874.4,847.4,222895.25,Closed,17.9,82786.18,-0.3249,TARGET_HIT
46,NIFTY 25514 PE,Survivor,18/02/2026 10:29,18/02/2026 10:35,65,1,75.67,15.13,113.5,53.36,4918.55,3468.4,1450.15,224345.4,Closed,29.5,25514.15,-0.3302,TARGET_HIT
47,BANKNIFTY 60871 PE,Survivor,18/02/2026 10:29,18/02/2026 10:35,30,1,193.69,38.74,290.53,134.62,5810.7,4038.6,1772.1,226117.5,Closed,30.5,60870.74,-0.3355,TARGET_HIT
48,SENSEX 82733 PE,Survivor,18/02/2026 10:29,18/02/2026 10:35,20,1,234.77,46.95,352.16,163.76,4695.4,3275.2,1420.2,227537.7,Closed,30.2,82732.88,-0.3243,TARGET_HIT
