S.No,Symbol,Strategy,Entry Time,Exit Time,Per lot,No fo lots,Entry,Target,SL,Exit,Amount Invested,Amount After Close,PnL,Balance,Status,PnL %,Spot Price,Delta,Exit Reason
80,BANKNIFTY 60931 PE,Survivor,18/02/2026 11:40,18/02/2026 11:46,30,1,198.88,39.78,298.32,141.05,5966.4,4231.5,1734.9,270914.15,Closed,29.1,60931.08,-0.3398,TARGET_HIT
81,SENSEX 82879 PE,Survivor,18/02/2026 11:41,18/02/2026 11:46,20,1,238.38,47.68,357.57,184.02,4767.6,3680.4,1087.2,272001.35,Closed,22.8,82879.17,-0.3257,TARGET_HIT
82,NIFTY 25545 PE,Survivor,18/02/2026 11:46,18/02/2026 11:52,65,1,76.42,15.28,114.63,57.08,4967.3,3710.2,1257.1,273258.45,Closed,25.3,25545.3,-0.3311,TARGET_HIT
83,BANKNIFTY 60926 PE,Survivor,18/02/2026 11:46,18/02/2026 11:52,30,1,196.28,39.26,294.42,137.98,5888.4,4139.4,1749.0,275007.45,Closed,29.7,60925.69,-0.3367,TARGET_HIT
84,SENSEX 82870 PE,Survivor,18/02/2026 11:46,18/02/2026 11:52,20,1,238.14,47.63,357.21,185.92,4762.8,3718.4,1044.4,276051.85,Closed,21.9,82870.49,-0.3256,TARGET_HIT
85,BANKNIFTY 60926 PE,Survivor,18/02/2026 11:52,18/02/2026 11:57,30,1,196.36,39.27,294.54,138.65,5890.8,4159.5,1731.3,277783.15,Closed,29.4,60926.24,-0.3367,TARGET_HIT
86,SENSEX 82872 PE,Survivor,18/02/2026 11:52,18/02/2026 11:57,20,1,238.22,47.64,357.33,174.4,4764.4,3488.0,1276.4,279059.55,Closed,26.8,82872.24,-0.3257,TARGET_HIT
87,NIFTY 25555 PE,Survivor,18/02/2026 11:57,18/02/2026 12:03,65,1,76.65,15.33,114.98,56.07,4982.25,3644.55,1337.7,280397.25,Closed,26.8,25554.85,-0.3314,TARGET_HIT
88,BANKNIFTY 60924 PE,Survivor,18/02/2026 11:57,18/02/2026 12:03,30,1,196.39,39.28,294.58,137.88,5891.7,4136.4,1755.3,282152.55,Closed,29.8,60923.79,-0.3367,TARGET_HIT
89,SENSEX 82897 PE,Survivor,18/02/2026 11:57,18/02/2026 12:03,20,1,238.9,47.78,358.35,179.86,4778.0,3597.2,1180.8,283333.35,Closed,24.7,82897.46,-0.3259,TARGET_HIT
90,NIFTY 25572 PE,Survivor,18/02/2026 12:03,18/02/2026 12:09,65,1,78.4,15.68,117.6,57.97,5096.0,3768.05,1327.95,284661.3,Closed,26.1,25571.69,-0.3361,TARGET_HIT
91,BANKNIFTY 60936 PE,Survivor,18/02/2026 12:03,18/02/2026 12:09,30,1,196.94,39.39,295.41,137.97,5908.2,4139.1,1769.1,286430.4,Closed,29.9,60935.79,-0.337,TARGET_HIT
92,SENSEX 82945 PE,Survivor,18/02/2026 12:03,18/02/2026 12:09,20,1,240.23,48.05,360.34,180.35,4804.6,3607.0,1197.6,287628.0,Closed,24.9,82944.75,-0.3265,TARGET_HIT
93,NIFTY 25577 PE,Survivor,18/02/2026 12:08,18/02/2026 12:14,65,1,77.24,15.45,115.86,60.92,5020.6,3959.8,1060.8,288688.8,Closed,21.1,25576.75,-0.3321,TARGET_HIT
94,BANKNIFTY 60945 PE,Survivor,18/02/2026 12:08,18/02/2026 12:14,30,1,197.05,39.41,295.58,136.4,5911.5,4092.0,1819.5,290508.3,Closed,30.8,60944.59,-0.337,TARGET_HIT
95,SENSEX 82955 PE,Survivor,18/02/2026 12:08,18/02/2026 12:14,20,1,240.56,48.11,360.84,189.22,4811.2,3784.4,1026.8,291535.1,Closed,21.3,82954.93,-0.3266,TARGET_HIT
96,NIFTY 25700 CE,CPR,18/02/2026 12:14,20/02/2026 10:10,65,1,150.65,271.17,60.26,41.15,9792.25,2674.75,-7117.5,284417.6,Closed,-72.7,25700,0.5274,SL_HIT
97,NIFTY 25572 PE,Survivor,18/02/2026 12:14,18/02/2026 12:20,65,1,77.12,15.42,115.68,58.58,5012.8,3807.7,1205.1,285622.7,Closed,24.0,25572.45,-0.332,TARGET_HIT
98,BANKNIFTY 60945 PE,Survivor,18/02/2026 12:14,18/02/2026 12:20,30,1,197.44,39.49,296.16,140.63,5923.2,4218.9,1704.3,287327.0,Closed,28.8,60944.64,-0.3372,TARGET_HIT
99,SENSEX 82937 PE,Survivor,18/02/2026 12:14,18/02/2026 12:20,20,1,240.1,48.02,360.15,174.75,4802.0,3495.0,1307.0,288634.0,Closed,27.2,82936.79,-0.3264,TARGET_HIT
100,NIFTY 25574 PE,Survivor,18/02/2026 12:20,18/02/2026 12:25,65,1,77.18,15.44,115.77,59.81,5016.7,3887.65,1129.05,289763.05,Closed,22.5,25574.15,-0.332,TARGET_HIT
101,BANKNIFTY 60934 PE,Survivor,18/02/2026 12:20,18/02/2026 12:26,30,1,196.96,39.39,295.44,138.91,5908.8,4167.3,1741.5,291504.55,Closed,29.5,60934.19,-0.337,TARGET_HIT
102,SENSEX 82967 PE,Survivor,18/02/2026 12:20,18/02/2026 12:26,20,1,240.74,48.15,361.11,187.48,4814.8,3749.6,1065.2,292569.75,Closed,22.1,82967.29,-0.3267,TARGET_HIT
103,NIFTY 25582 PE,Survivor,18/02/2026 12:25,18/02/2026 12:31,65,1,78.67,15.73,118.0,59.87,5113.55,3891.55,1222.0,293791.75,Closed,23.9,25581.59,-0.3364,TARGET_HIT
104,BANKNIFTY 60941 PE,Survivor,18/02/2026 12:25,18/02/2026 12:31,30,1,199.17,39.83,298.75,132.54,5975.1,3976.2,1998.9,295790.65,Closed,33.5,60941.13,-0.34,TARGET_HIT
105,SENSEX 82991 PE,Survivor,18/02/2026 12:25,18/02/2026 12:31,20,1,246.33,49.27,369.5,195.64,4926.6,3912.8,1013.8,296804.45,Closed,20.6,82991.23,-0.3319,TARGET_HIT
106,NIFTY 25578 PE,Survivor,18/02/2026 12:31,18/02/2026 12:37,65,1,77.33,15.47,116.0,56.58,5026.45,3677.7,1348.75,298153.2,Closed,26.8,25578.5,-0.3322,TARGET_HIT
107,BANKNIFTY 60951 PE,Survivor,18/02/2026 12:31,18/02/2026 12:37,30,1,197.67,39.53,296.5,128.17,5930.1,3845.1,2085.0,300238.2,Closed,35.2,60951.04,-0.3373,TARGET_HIT
108,SENSEX 82981 PE,Survivor,18/02/2026 12:31,18/02/2026 12:37,20,1,241.33,48.27,362.0,184.65,4826.6,3693.0,1133.6,301371.8,Closed,23.5,82980.77,-0.3269,TARGET_HIT
109,NIFTY 25591 PE,Survivor,18/02/2026 12:36,18/02/2026 12:42,65,1,78.94,15.79,118.41,61.83,5131.1,4018.95,1112.15,302483.95,Closed,21.7,25590.74,-0.3368,TARGET_HIT
110,BANKNIFTY 60991 PE,Survivor,18/02/2026 12:36,18/02/2026 12:42,30,1,201.9,40.38,302.85,138.61,6057.0,4158.3,1898.7,304382.65,Closed,31.3,60990.63,-0.3412,TARGET_HIT
111,SENSEX 82994 PE,Survivor,18/02/2026 12:36,18/02/2026 12:42,20,1,246.48,49.3,369.72,184.15,4929.6,3683.0,1246.6,305629.25,Closed,25.3,82993.83,-0.332,TARGET_HIT
112,NIFTY 25580 PE,Survivor,18/02/2026 12:42,18/02/2026 12:48,65,1,77.34,15.47,116.01,57.28,5027.1,3723.2,1303.9,306933.15,Closed,25.9,25580.25,-0.3322,TARGET_HIT
113,BANKNIFTY 60972 PE,Survivor,18/02/2026 12:42,18/02/2026 12:48,30,1,198.37,39.67,297.56,129.13,5951.1,3873.9,2077.2,309010.35,Closed,34.9,60972.44,-0.3372,TARGET_HIT
114,SENSEX 82986 PE,Survivor,18/02/2026 12:42,18/02/2026 12:48,20,1,241.41,48.28,362.12,183.2,4828.2,3664.0,1164.2,310174.55,Closed,24.1,82986.12,-0.3269,TARGET_HIT
115,NIFTY 25591 PE,Survivor,18/02/2026 12:47,18/02/2026 12:53,65,1,78.95,15.79,118.43,61.03,5131.75,3966.95,1164.8,311339.35,Closed,22.7,25590.54,-0.3368,TARGET_HIT
116,BANKNIFTY 61350 CE,CPR,18/02/2026 12:47,20/02/2026 12:37,30,1,364.1,655.38,145.64,14.74,10923.0,442.2,-10480.8,300858.55,Closed,-96.0,61350,0.5131,SL_HIT
117,BANKNIFTY 61019 PE,Survivor,18/02/2026 12:47,18/02/2026 12:53,30,1,202.91,40.58,304.37,148.4,6087.3,4452.0,1635.3,302493.85,Closed,26.9,61019.18,-0.3416,TARGET_HIT
118,SENSEX 83005 PE,Survivor,18/02/2026 12:48,18/02/2026 12:53,20,1,246.81,49.36,370.22,191.71,4936.2,3834.2,1102.0,303595.85,Closed,22.3,83005.21,-0.3321,TARGET_HIT
119,NIFTY 25584 PE,Survivor,18/02/2026 12:53,18/02/2026 12:59,65,1,77.46,15.49,116.19,57.02,5034.9,3706.3,1328.6,304924.45,Closed,26.4,25584.2,-0.3324,TARGET_HIT
120,BANKNIFTY 60986 PE,Survivor,18/02/2026 12:53,18/02/2026 12:59,30,1,198.78,39.76,298.17,140.66,5963.4,4219.8,1743.6,306668.05,Closed,29.2,60986.14,-0.3374,TARGET_HIT
121,SENSEX 82971 PE,Survivor,18/02/2026 12:53,18/02/2026 12:59,20,1,240.99,48.2,361.49,175.66,4819.8,3513.2,1306.6,307974.65,Closed,27.1,82970.63,-0.3268,TARGET_HIT
122,NIFTY 25596 PE,Survivor,18/02/2026 12:59,18/02/2026 13:04,65,1,79.1,15.82,118.65,58.78,5141.5,3820.7,1320.8,309295.45,Closed,25.7,25595.74,-0.3369,TARGET_HIT
