timestamp,strategy,symbol,signal_type,spot,strike,opt_type,entry_premium,target,sl,quality_score,dte,iv,vix,reason,wall_strike,wall_oi,max_pain,vwap,oi_confirmed,distance_pct
2026-03-09T11:30:44.358683,Max Pain Magnet,NIFTY,BUY_CE,23847.4,23850,CE,217.3,325.95,141.25,67,1,0.4314,23.76,"Max Pain: MP=24000, Spot=23847 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.64
2026-03-09T11:30:44.358697,Max Pain Magnet,SENSEX,BUY_CE,77020.25,77000,CE,1088.3,1523.62,707.39,55,3,0.3568439560054846,23.76,"Max Pain: MP=77900, Spot=77020 (1.1% below) -> BUY_CE, DTE=3",,,77900.0,,,1.14
2026-03-09T11:33:44.437538,Max Pain Magnet,NIFTY,BUY_CE,23881.5,23900,CE,201.9,302.85,131.24,75,1,0.2468333333333333,23.55,"Max Pain: MP=24000, Spot=23882 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.5
2026-03-09T11:33:44.437550,Max Pain Magnet,SENSEX,BUY_CE,77130.71,77100,CE,1049.9,1469.86,682.44,55,3,0.3551302396676882,23.55,"Max Pain: MP=77900, Spot=77131 (1.0% below) -> BUY_CE, DTE=3",,,77900.0,,,1.0
2026-03-09T11:36:44.517159,Max Pain Magnet,NIFTY,BUY_CE,23876.4,23900,CE,197.5,296.25,128.38,75,1,0.2468333333333333,23.5,"Max Pain: MP=24000, Spot=23876 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.52
2026-03-09T11:36:44.517174,Max Pain Magnet,SENSEX,BUY_CE,77082.69,77100,CE,1042.95,1460.13,677.92,55,3,0.3537991221117327,23.5,"Max Pain: MP=77900, Spot=77083 (1.1% below) -> BUY_CE, DTE=3",,,77900.0,,,1.06
2026-03-09T11:39:44.599438,Max Pain Magnet,NIFTY,BUY_CE,23882.9,23900,CE,204.7,307.05,133.06,75,1,0.2468333333333333,23.48,"Max Pain: MP=24000, Spot=23883 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.49
2026-03-09T11:39:44.599451,Max Pain Magnet,SENSEX,BUY_CE,77129.15,77100,CE,1065.9,1492.26,692.84,55,3,0.3560818007158217,23.48,"Max Pain: MP=77900, Spot=77129 (1.0% below) -> BUY_CE, DTE=3",,,77900.0,,,1.0
2026-03-09T11:42:44.676468,Max Pain Magnet,NIFTY,BUY_CE,23894.0,23900,CE,220.4,330.6,143.26,67,1,0.4029,23.48,"Max Pain: MP=24000, Spot=23894 (0.4% below) -> BUY_CE, DTE=1",,,24000.0,,,0.44
2026-03-09T11:42:44.676480,Max Pain Magnet,SENSEX,BUY_CE,77178.57,77200,CE,1080.25,1512.35,702.16,55,3,0.3526340765926503,23.48,"Max Pain: MP=77900, Spot=77179 (0.9% below) -> BUY_CE, DTE=3",,,77900.0,,,0.93
