date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2023-10-27,BUY_CE_GAMMA,61000,61014.0,472.62,725.02,252219.21,0.508,13.6,5
2023-10-30,BUY_CE_GAMMA,61200,61171.0,723.99,872.93,148679.34,0.499,13.4,13
2023-10-31,BUY_PE_GAMMA,60800,60810.0,617.96,912.77,294585.7,-0.491,11.8,12
2023-11-03,BUY_CE_GAMMA,61500,61500.0,649.73,1125.33,475365.03,0.504,12.2,12
2023-11-07,BUY_PE_GAMMA,60400,60388.0,598.89,777.69,178575.37,-0.498,13.9,8
2023-11-08,BUY_PE_GAMMA,60000,60030.0,551.33,852.17,300636.95,-0.486,14.2,7
2023-11-09,BUY_CE_GAMMA,60300,60310.0,531.67,822.47,290601.11,0.507,14.2,6
2023-11-10,BUY_PE_GAMMA,59700,59682.0,402.53,646.03,243341.22,-0.504,11.8,5
2023-11-14,BUY_CE_GAMMA,60100,60079.0,347.66,418.73,70920.46,0.493,10.6,5
2023-11-15,BUY_CE_GAMMA,60100,60125.0,364.77,465.86,100930.17,0.514,10.5,5
2023-11-21,BUY_CE_GAMMA,61200,61200.0,379.68,633.38,253537.4,0.503,11.1,5
2023-11-23,BUY_CE_GAMMA,61100,61105.0,378.31,438.23,59765.54,0.505,11.0,5
2023-11-24,BUY_CE_GAMMA,61400,61388.0,375.52,564.5,188826.07,0.498,11.1,5
2023-11-27,BUY_CE_GAMMA,61600,61581.0,364.34,434.3,69814.65,0.495,10.8,5
2023-11-28,BUY_CE_GAMMA,62300,62300.0,706.57,1339.69,632866.54,0.504,11.7,15
2023-12-01,BUY_CE_GAMMA,63000,62993.0,566.75,875.92,308954.74,0.501,9.7,14
2023-12-04,BUY_PE_GAMMA,62300,62270.0,562.17,1128.07,565692.34,-0.503,10.6,11
2023-12-08,BUY_PE_GAMMA,61600,61608.0,418.17,704.94,286596.67,-0.493,10.3,7
2023-12-12,BUY_CE_GAMMA,61000,60997.0,384.41,465.33,80757.15,0.501,11.3,5
2023-12-14,BUY_CE_GAMMA,62200,62199.0,455.34,728.38,272860.07,0.503,13.1,5
2023-12-18,BUY_PE_GAMMA,62000,61965.0,478.85,811.36,332316.64,-0.508,13.3,5
2023-12-19,BUY_CE_GAMMA,62200,62172.0,436.92,496.35,59261.79,0.493,12.9,5
2023-12-22,BUY_CE_GAMMA,62700,62674.0,444.3,537.48,93006.64,0.494,13.0,5
2023-12-26,BUY_PE_GAMMA,62700,62740.0,436.61,686.75,249966.42,-0.482,13.0,5
2023-12-27,BUY_CE_GAMMA,63300,63285.0,439.71,689.62,249726.49,0.498,12.6,5
2024-01-01,BUY_CE_GAMMA,63200,63188.0,740.77,1078.07,337030.82,0.502,12.6,14
2024-01-03,BUY_PE_GAMMA,62300,62329.0,666.66,1157.27,490375.3,-0.487,12.6,12
2024-01-05,BUY_CE_GAMMA,62700,62731.0,648.44,1001.8,353124.71,0.512,12.8,10
2024-01-08,BUY_PE_GAMMA,62200,62155.0,535.03,735.24,200004.28,-0.509,12.4,7
2024-01-10,BUY_PE_GAMMA,62000,62034.0,389.74,581.45,191555.2,-0.483,11.7,5
2024-01-11,BUY_PE_GAMMA,61900,61880.0,418.45,516.8,98178.92,-0.504,11.8,5
2024-01-16,BUY_PE_GAMMA,62100,62066.0,364.62,600.52,235749.85,-0.512,10.0,5
2024-01-17,BUY_PE_GAMMA,61500,61520.0,352.38,575.15,222620.46,-0.488,10.5,5
2024-01-19,BUY_CE_GAMMA,62000,62010.0,379.63,138.79,-240999.14,0.507,10.8,5
2024-01-22,BUY_PE_GAMMA,61900,61880.0,370.05,424.13,53923.61,-0.505,10.4,5
2024-01-30,BUY_CE_GAMMA,62400,62400.0,540.03,162.01,-378222.36,0.503,9.6,13
2024-01-31,BUY_CE_GAMMA,62900,62860.0,530.38,714.92,184343.36,0.492,10.1,12
2024-02-09,BUY_PE_GAMMA,62100,62126.0,315.36,351.91,36415.46,-0.484,8.6,6
2024-02-12,BUY_PE_GAMMA,61900,61856.0,304.0,368.42,64287.65,-0.522,8.1,5
2024-02-13,BUY_PE_GAMMA,61300,61267.0,318.2,563.35,245010.12,-0.514,8.8,5
2024-02-15,BUY_CE_GAMMA,61300,61282.0,265.59,293.21,27492.62,0.491,8.0,5
2024-02-16,BUY_CE_GAMMA,61500,61498.0,274.42,405.26,130705.33,0.501,8.0,5
2024-02-20,BUY_CE_GAMMA,61800,61810.0,281.82,426.77,144827.63,0.508,8.0,5
2024-02-22,BUY_PE_GAMMA,61700,61661.0,296.15,447.25,150964.28,-0.52,8.0,5
2024-02-23,BUY_CE_GAMMA,61900,61910.0,282.26,438.88,156488.47,0.508,8.0,5
2024-02-26,BUY_PE_GAMMA,61800,61766.0,294.01,365.69,71541.8,-0.517,8.0,5
2024-02-29,BUY_CE_GAMMA,62300,62335.0,483.92,816.77,332668.66,0.514,8.0,14
2024-03-08,BUY_CE_GAMMA,65800,65847.0,510.84,745.22,234189.88,0.518,11.2,7
2024-03-12,BUY_PE_GAMMA,65300,65334.0,368.04,596.07,227871.87,-0.483,10.5,5
2024-03-13,BUY_CE_GAMMA,65700,65717.0,389.82,466.24,76256.19,0.51,10.4,5
2024-03-14,BUY_PE_GAMMA,65400,65435.0,379.68,438.72,58889.55,-0.483,10.8,5
2024-03-18,BUY_CE_GAMMA,65400,65429.0,417.83,479.88,61882.31,0.514,11.0,5
2024-03-21,BUY_CE_GAMMA,65900,65939.0,420.15,152.69,-267621.82,0.518,10.8,5
2024-03-25,BUY_PE_GAMMA,65900,65862.0,425.05,680.78,255558.4,-0.511,11.0,5
2024-03-26,BUY_CE_GAMMA,66000,66027.0,419.14,509.08,89772.69,0.513,11.0,5
2024-03-27,BUY_CE_GAMMA,66300,66295.0,399.73,625.95,226049.93,0.501,10.8,5
2024-03-28,BUY_CE_GAMMA,67600,67592.0,812.56,1630.25,817406.96,0.503,12.5,15
2024-04-03,BUY_PE_GAMMA,69700,69725.0,683.81,1025.0,340949.95,-0.488,11.5,12
2024-04-05,BUY_CE_GAMMA,70700,70701.0,677.62,1197.17,519307.97,0.504,12.1,10
2024-04-09,BUY_CE_GAMMA,71100,71130.0,542.92,676.92,133799.0,0.512,12.1,6
2024-04-11,BUY_CE_GAMMA,71500,71514.0,450.89,670.55,219477.63,0.508,11.1,5
2024-04-16,BUY_CE_GAMMA,73100,73109.0,425.29,684.73,259267.4,0.506,10.3,5
2024-04-17,BUY_PE_GAMMA,72700,72695.0,452.38,699.45,246891.68,-0.498,11.1,5
2024-04-22,BUY_PE_GAMMA,71900,71936.0,551.61,912.47,360654.65,-0.486,14.1,5
2024-04-26,BUY_CE_GAMMA,72100,72107.0,536.18,638.4,102011.03,0.505,13.2,5
2024-04-29,BUY_CE_GAMMA,72200,72250.0,895.8,1049.55,153442.48,0.514,12.9,14
2024-04-30,BUY_PE_GAMMA,71100,71087.0,957.78,1667.17,709067.16,-0.494,14.8,13
2024-05-02,BUY_PE_GAMMA,71100,71119.0,890.89,1514.78,623585.8,-0.489,14.0,13
2024-05-06,BUY_CE_GAMMA,71300,71321.0,720.42,1192.73,472060.7,0.509,13.3,9
2024-05-07,BUY_PE_GAMMA,71100,71136.0,635.43,720.26,84600.28,-0.486,13.0,8
2024-05-09,BUY_CE_GAMMA,71600,71586.0,566.16,905.84,339473.73,0.5,13.1,6
2024-05-10,BUY_CE_GAMMA,72600,72595.0,572.12,991.5,419162.68,0.502,14.1,5
2024-05-14,BUY_CE_GAMMA,72200,72213.0,574.3,863.93,289419.63,0.507,14.0,5
2024-05-15,BUY_CE_GAMMA,73000,73001.0,597.6,974.75,376923.26,0.504,14.6,5
2024-05-17,BUY_CE_GAMMA,73600,73593.0,613.89,1018.52,404408.93,0.502,15.0,5
2024-05-22,BUY_PE_GAMMA,73000,73027.0,575.36,970.91,395334.97,-0.488,14.4,5
2024-05-27,BUY_CE_GAMMA,72000,72001.0,681.28,754.05,72527.3,0.505,16.9,5
2024-05-28,BUY_CE_GAMMA,72100,72145.0,1099.41,420.93,-678845.88,0.513,15.4,15
2024-05-29,BUY_PE_GAMMA,72000,71993.0,1043.49,1151.27,107433.83,-0.493,15.4,14
2024-05-31,BUY_PE_GAMMA,71700,71700.0,959.54,1058.55,98680.31,-0.492,15.5,12
2024-06-03,BUY_PE_GAMMA,71800,71818.0,946.57,1652.79,705901.12,-0.489,15.4,12
2024-06-05,BUY_CE_GAMMA,72500,72485.0,897.02,1443.08,545754.42,0.503,15.8,10
2024-06-07,BUY_PE_GAMMA,71300,71308.0,880.93,1708.06,826834.66,-0.492,17.5,8
2024-06-12,BUY_CE_GAMMA,71800,71796.0,656.87,800.41,143305.37,0.503,16.4,5
2024-06-13,BUY_PE_GAMMA,71000,71030.0,656.33,1044.85,388282.0,-0.488,16.9,5
2024-06-14,BUY_CE_GAMMA,71700,71691.0,672.03,1045.71,373439.28,0.502,16.9,5
2024-06-20,BUY_CE_GAMMA,72300,72258.0,555.44,924.17,368513.92,0.492,14.2,5
2024-06-21,BUY_PE_GAMMA,71400,71429.0,584.78,945.84,360839.65,-0.488,15.0,5
2024-06-25,BUY_PE_GAMMA,71200,71201.0,580.95,875.37,294205.18,-0.495,14.6,5
2024-06-26,BUY_PE_GAMMA,70900,70919.0,571.7,691.12,119205.84,-0.49,14.6,5
2024-06-27,BUY_CE_GAMMA,71300,71303.0,593.85,941.06,346989.04,0.505,14.8,5
2024-07-03,BUY_CE_GAMMA,72200,72160.0,917.38,1542.97,625271.56,0.499,15.0,12
