date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2025-05-16,SELL_PE_CPR,94500,95318.0,858.61,1370.42,-460978.79,-0.388,27.6,5,0.643
2025-05-19,BUY_CE_CPR,95500,95453.0,1207.57,2173.63,869090.01,0.5,27.6,5,0.056
2025-05-20,BUY_CE_CPR,97500,97288.0,1209.93,2177.88,870788.29,0.481,28.9,5,0.225
2025-05-21,SELL_CE_CPR,98500,98245.0,1148.9,1522.0,-336233.54,0.474,27.7,5,0.796
2025-05-22,BUY_PE_CPR,98000,97796.0,1373.07,2471.53,988205.73,-0.519,27.8,5,0.131
2025-05-23,BUY_CE_CPR,98000,98054.0,1272.69,1081.78,-172192.07,0.513,27.2,5,0.144
2025-05-26,BUY_CE_CPR,98000,98003.0,1246.98,1059.93,-168715.09,0.506,27.2,5,0.307
2025-05-27,BUY_PE_CPR,97500,97475.0,1255.88,2260.58,903857.21,-0.496,27.3,5,0.048
2025-05-29,BUY_CE_CPR,98000,97826.0,1754.46,3158.03,1262705.24,0.493,24.1,14,0.266
2025-05-30,BUY_PE_CPR,97000,97015.0,1777.63,3199.73,1279382.54,-0.488,24.5,13,0.047
2025-06-02,BUY_CE_CPR,101000,101011.0,2312.35,4162.23,1664240.45,0.511,30.4,13,0.251
2025-06-03,SELL_PE_CPR,99000,101216.0,1000.72,1279.76,-251532.31,-0.313,26.4,12,1.237
2025-06-04,BUY_CE_CPR,101500,101380.0,1740.48,3132.86,1252643.39,0.497,25.7,11,0.399
2025-06-05,BUY_CE_CPR,104500,104443.0,1937.42,3487.35,1394386.64,0.504,28.5,10,0.12
2025-06-06,SELL_CE_CPR,106500,105459.0,1424.84,586.95,753549.41,0.422,28.7,9,0.658
2025-06-09,BUY_CE_CPR,107000,107087.0,1549.21,2788.57,1114976.96,0.516,27.5,6,0.045
2025-06-11,BUY_PE_CPR,105500,105392.0,1399.49,2519.08,1007220.26,-0.506,27.3,5,0.008
2025-06-13,BUY_CE_CPR,106500,106493.0,1326.71,2388.07,954834.31,0.505,26.8,5,0.399
2025-06-16,BUY_CE_CPR,106500,106564.0,1364.3,2455.75,981894.82,0.513,26.8,5,0.105
