date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2024-05-09,SELL_PE_CPR,180,191.1,3.29,4.08,-1241440.81,-0.263,80.0,6,1.116
2024-05-10,SELL_CE_CPR,200,189.4,3.16,1.73,2228272.62,0.296,80.0,5,1.531
2024-05-13,SELL_PE_CPR,185,196.6,2.77,3.07,-472705.37,-0.243,80.0,5,0.933
2024-05-14,SELL_CE_CPR,205,197.7,4.42,1.87,3975780.87,0.366,80.0,5,1.652
2024-05-14,SELL_PE_CPR,190,197.7,4.03,4.24,-344209.85,-0.319,80.0,5,1.652
2024-05-15,BUY_CE_CPR,200,198.9,6.9,12.43,8627219.78,0.495,80.0,5,0.352
2024-05-16,BUY_CE_CPR,210,208.1,6.89,12.4,8605099.58,0.48,80.0,5,0.336
2024-05-17,BUY_CE_CPR,215,216.8,8.99,16.17,11228032.56,0.554,80.0,5,0.384
2024-05-21,SELL_CE_CPR,235,223.6,4.04,8.07,-6310767.71,0.314,80.0,5,0.984
2024-05-21,SELL_PE_CPR,220,223.6,6.6,8.57,-3086194.11,-0.413,80.0,5,0.984
2024-05-22,SELL_PE_CPR,215,234.2,2.06,2.57,-803074.29,-0.168,80.0,5,0.954
2024-05-24,SELL_PE_CPR,210,213.0,6.48,5.19,2021665.71,-0.421,80.0,5,2.629
2024-05-27,SELL_PE_CPR,205,210.7,5.24,8.21,-4648291.24,-0.367,80.0,5,1.629
2024-05-28,BUY_CE_CPR,215,214.5,13.59,24.47,16986315.98,0.525,80.0,15,0.295
2024-05-30,SELL_PE_CPR,215,217.0,11.99,15.07,-4806993.68,-0.445,80.0,13,1.997
2024-05-31,SELL_PE_CPR,210,215.2,9.85,13.64,-5937408.83,-0.404,80.0,12,0.713
2024-06-03,BUY_CE_CPR,225,225.2,13.09,23.56,16352892.06,0.53,80.0,12,0.385
2024-06-04,BUY_PE_CPR,220,219.6,12.35,22.22,15425738.57,-0.477,80.0,11,0.076
2024-06-05,SELL_CE_CPR,230,228.2,11.2,8.96,3491587.49,0.502,80.0,10,2.089
2024-06-06,SELL_CE_CPR,235,234.0,11.23,16.26,-7853941.6,0.511,80.0,9,1.211
2024-06-07,BUY_CE_CPR,245,246.5,12.35,22.23,15435102.49,0.543,80.0,8,0.027
2024-06-10,SELL_CE_CPR,255,242.5,4.34,8.68,-6784390.58,0.312,80.0,5,1.608
2024-06-10,SELL_PE_CPR,240,242.5,7.81,6.25,2434731.03,-0.437,80.0,5,1.608
2024-06-12,SELL_CE_CPR,260,252.8,6.4,5.26,1767273.73,0.4,80.0,5,0.818
2024-06-12,SELL_PE_CPR,250,252.8,8.05,9.82,-2777944.87,-0.434,80.0,5,0.818
2024-06-13,SELL_CE_CPR,260,247.9,4.63,5.41,-1222636.71,0.322,80.0,5,0.807
2024-06-13,SELL_PE_CPR,245,247.9,7.82,10.96,-4910319.0,-0.431,80.0,5,0.807
2024-06-14,SELL_PE_CPR,240,241.9,8.07,6.46,2517491.62,-0.447,80.0,5,0.717
2024-06-19,SELL_CE_CPR,245,241.9,7.62,4.75,4472650.73,0.464,80.0,5,1.144
2024-06-19,SELL_PE_CPR,235,241.9,5.87,5.21,1032795.51,-0.361,80.0,5,1.144
2024-06-20,BUY_PE_CPR,230,229.9,8.63,15.53,10782106.99,-0.483,80.0,5,0.043
2024-06-21,SELL_PE_CPR,220,225.9,5.7,1.92,5908279.67,-0.371,80.0,5,1.977
2024-06-25,SELL_CE_CPR,235,230.7,6.71,10.71,-6253161.67,0.44,80.0,5,1.127
2024-06-26,SELL_CE_CPR,235,231.2,6.93,11.98,-7892210.57,0.449,80.0,5,0.735
2024-06-27,SELL_PE_CPR,225,226.8,7.56,9.06,-2347929.89,-0.447,80.0,5,1.161
2024-06-28,SELL_CE_CPR,230,217.8,9.15,11.98,-4428900.24,0.398,80.0,15,0.658
2024-07-03,BUY_PE_CPR,205,203.5,12.55,22.59,15678772.72,-0.49,80.0,12,0.393
2024-07-05,SELL_CE_CPR,205,195.6,6.52,6.56,-73127.55,0.386,80.0,10,0.75
2024-07-05,SELL_PE_CPR,195,195.6,9.99,6.86,4884418.72,-0.464,80.0,10,0.75
2024-07-08,SELL_CE_CPR,200,197.8,7.72,9.75,-3178336.74,0.482,80.0,7,0.859
2024-07-08,SELL_PE_CPR,190,197.8,5.22,4.06,1803678.58,-0.337,80.0,7,0.859
2024-07-10,BUY_PE_CPR,195,194.9,6.57,11.82,8207715.38,-0.485,71.7,5,0.291
2024-07-11,BUY_PE_CPR,190,190.4,6.18,11.13,7727246.69,-0.473,71.9,5,0.35
