date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2023-08-10,BUY_PE_GAMMA,19550,19549.2,53.59,63.46,198.76,-0.491,0.0029,13.5,0
2023-08-17,BUY_PE_GAMMA,19350,19346.2,50.6,79.85,683.65,-0.5,0.00316,12.5,0
2023-08-24,BUY_PE_GAMMA,19400,19380.4,53.0,92.04,928.26,-0.556,0.00355,11.0,0
2023-08-31,BUY_PE_GAMMA,19300,19279.55,50.94,69.95,427.27,-0.563,0.00375,10.4,0
2023-09-07,BUY_CE_GAMMA,19750,19727.05,33.84,52.48,418.32,0.429,0.00366,10.4,0
2023-09-14,BUY_PE_GAMMA,20100,20103.1,40.39,12.12,-754.57,-0.475,0.00364,10.4,0
2023-09-21,BUY_PE_GAMMA,19750,19742.35,54.79,90.17,836.59,-0.511,0.00302,12.8,0
2023-09-28,BUY_PE_GAMMA,19500,19523.55,41.81,71.14,685.47,-0.42,0.00287,13.3,0
2023-10-05,BUY_CE_GAMMA,19550,19545.75,54.89,59.5,67.48,0.499,0.00288,13.5,0
2023-10-12,BUY_PE_GAMMA,19800,19794.0,59.83,66.2,111.24,-0.505,0.00272,14.2,0
2023-10-19,BUY_CE_GAMMA,19600,19624.7,68.56,89.5,475.5,0.585,0.00292,13.0,0
2023-11-09,BUY_PE_GAMMA,19400,19395.3,65.15,99.51,810.97,-0.501,0.00247,15.9,0
2023-11-16,BUY_CE_GAMMA,19750,19765.2,81.21,114.35,780.35,0.543,0.00221,17.3,0
2023-11-23,BUY_PE_GAMMA,19800,19802.0,45.35,51.16,97.68,-0.48,0.00331,11.6,0
2023-11-30,BUY_CE_GAMMA,20150,20133.15,38.33,42.67,60.76,0.454,0.00354,10.6,0
2023-12-07,BUY_PE_GAMMA,20900,20901.15,58.77,22.51,-954.49,-0.486,0.0026,14.0,0
2023-12-14,BUY_CE_GAMMA,21200,21182.7,54.36,84.7,710.65,0.466,0.00261,13.8,0
2023-12-28,BUY_CE_GAMMA,21800,21778.7,68.92,101.96,778.14,0.466,0.00205,17.0,0
2024-01-04,BUY_CE_GAMMA,21650,21658.6,76.02,86.32,209.33,0.53,0.00228,15.4,0
2024-01-11,BUY_PE_GAMMA,21650,21647.2,72.05,80.43,161.33,-0.496,0.00219,16.1,0
2024-02-01,BUY_PE_GAMMA,21700,21697.45,103.27,120.29,377.06,-0.496,0.00153,22.9,0
2024-02-08,BUY_PE_GAMMA,21700,21717.95,95.42,157.42,1501.47,-0.465,0.0015,23.4,0
2024-02-22,BUY_CE_GAMMA,22200,22217.45,89.8,146.86,1378.19,0.545,0.00201,17.0,0
2024-03-28,BUY_CE_GAMMA,22350,22326.9,70.0,95.66,593.41,0.463,0.002,17.0,0
2024-04-04,BUY_PE_GAMMA,22500,22514.65,62.1,18.63,-1134.74,-0.457,0.00223,15.1,0
2024-04-18,BUY_PE_GAMMA,22000,21995.85,68.89,119.62,1220.13,-0.499,0.00231,15.0,0
2024-04-25,BUY_CE_GAMMA,22550,22570.35,81.47,152.66,1731.47,0.558,0.00229,14.6,0
2024-05-02,BUY_CE_GAMMA,22650,22648.2,70.1,83.68,291.55,0.507,0.00231,14.6,0
2024-05-09,BUY_PE_GAMMA,21950,21957.5,71.53,116.77,1083.11,-0.475,0.00206,16.8,0
2024-05-16,BUY_CE_GAMMA,22400,22403.85,78.13,119.96,997.54,0.518,0.00214,15.9,0
2024-05-23,BUY_CE_GAMMA,22950,22967.65,91.22,166.31,1828.91,0.545,0.00198,16.7,0
2024-05-30,BUY_PE_GAMMA,22500,22488.65,81.34,107.55,607.07,-0.513,0.00205,16.5,0
2024-06-13,BUY_PE_GAMMA,23400,23398.9,216.54,239.23,517.41,-0.493,0.00073,44.6,0
2024-06-27,BUY_CE_GAMMA,24050,24044.5,219.62,359.58,3448.97,0.504,0.00072,43.9,0
2024-07-04,BUY_PE_GAMMA,24300,24302.15,60.12,90.19,703.62,-0.482,0.00251,12.5,0
2024-07-18,BUY_CE_GAMMA,24800,24800.85,56.53,102.17,1093.2,0.517,0.00295,10.4,0
2024-07-25,BUY_CE_GAMMA,24400,24406.1,61.38,100.01,917.94,0.531,0.00283,11.0,0
2024-08-08,BUY_PE_GAMMA,24100,24117.0,101.91,154.52,1266.75,-0.468,0.00141,22.3,0
2024-08-22,BUY_PE_GAMMA,24800,24811.5,114.99,128.8,296.69,-0.477,0.00129,23.7,0
