date,time,symbol,type,strike,entry_premium,exit_premium,spot_entry,vwap,pcr,tolerance,has_oi,exit_reason,gross_pnl,costs,net_pnl,version
2025-10-06,10:50,SENSEX,BUY_CE,81500,476.24,674.41,81373.01,81373.01,1.329,0.34,True,EOD,3894.38,80.54,3813.84,Intraday
2025-10-07,09:55,SENSEX,BUY_CE,82100,218.62,216.09,81957.69,81957.69,491.0,0.356,True,EOD,-76.62,62.5,-139.12,Intraday
2025-10-07,10:00,SENSEX,BUY_CE,82200,184.76,175.28,81976.01,81976.01,494.0,0.356,True,EOD,-211.35,60.13,-271.48,Intraday
2025-10-08,10:20,SENSEX,BUY_PE,82000,151.2,302.4,82113.81,82113.81,0.514,0.351,True,TARGET,2996.81,57.78,2939.02,Intraday
2025-10-08,10:25,SENSEX,BUY_PE,82000,153.34,306.68,82108.41,82108.41,0.611,0.35,True,TARGET,3039.22,57.93,2981.28,Intraday
2025-10-09,10:10,SENSEX,BUY_PE,81700,83.95,33.58,81845.29,81845.29,0.193,0.368,True,SL,-1014.48,53.08,-1067.55,Intraday
2025-10-09,10:15,SENSEX,BUY_PE,81700,86.72,34.69,81837.13,81837.13,0.577,0.367,True,SL,-1047.92,53.27,-1101.19,Intraday
2025-10-10,10:05,SENSEX,BUY_CE,82400,148.12,195.85,82373.16,82373.16,1.183,0.371,True,EOD,934.03,57.57,876.47,Intraday
2025-10-10,11:05,SENSEX,BUY_CE,82500,127.58,146.3,82428.62,82428.62,1.455,0.37,True,EOD,357.88,56.13,301.75,Intraday
2025-10-13,10:25,SENSEX,BUY_CE,82200,336.46,413.43,82198.8,82198.8,1.197,0.375,True,EOD,1494.35,70.75,1423.6,Intraday
2025-10-13,11:10,SENSEX,BUY_PE,82200,275.73,211.83,82206.08,82206.08,0.42,0.375,True,EOD,-1307.26,66.5,-1373.76,Intraday
2025-10-14,09:55,SENSEX,BUY_PE,82200,158.41,316.81,82410.96,82410.96,0.001,0.367,True,TARGET,3139.63,58.29,3081.34,Intraday
2025-10-14,10:00,SENSEX,BUY_PE,82200,169.73,339.47,82379.4,82379.4,0.001,0.367,True,TARGET,3364.11,59.08,3305.02,Intraday
2025-10-15,10:10,SENSEX,BUY_CE,82300,212.68,425.36,82276.23,82276.23,1.801,0.375,True,TARGET,4215.29,62.09,4153.21,Intraday
2025-10-15,10:20,SENSEX,BUY_CE,82400,171.56,343.12,82288.6,82288.6,2.803,0.375,True,TARGET,3400.28,59.21,3341.07,Intraday
2025-10-16,09:55,SENSEX,BUY_CE,83000,144.6,289.2,82955.44,82955.44,1.434,0.381,True,TARGET,2865.94,57.32,2808.62,Intraday
2025-10-16,10:15,SENSEX,BUY_CE,83000,148.78,297.55,82964.22,82964.22,1.289,0.381,True,TARGET,2948.73,57.61,2891.11,Intraday
2025-10-17,10:05,SENSEX,BUY_CE,83800,67.87,135.74,83509.54,83509.54,3.544,0.381,True,TARGET,1345.19,51.95,1293.24,Intraday
2025-10-17,10:35,SENSEX,BUY_CE,83800,88.31,176.62,83580.17,83580.17,2.11,0.38,True,TARGET,1750.28,53.38,1696.89,Intraday
2025-10-20,09:55,SENSEX,BUY_PE,84300,261.15,286.71,84440.33,84440.33,0.447,0.39,True,EOD,478.31,65.48,412.83,Intraday
2025-10-20,10:00,SENSEX,BUY_PE,84400,307.86,333.1,84433.08,84433.08,0.517,0.389,True,EOD,466.38,68.75,397.63,Intraday
2025-10-23,10:45,SENSEX,BUY_PE,85100,158.84,317.67,85110.53,85110.53,0.274,0.416,True,TARGET,3148.14,58.32,3089.82,Intraday
2025-10-23,10:55,SENSEX,BUY_CE,85100,183.86,73.55,85109.28,85109.28,1.009,0.416,True,SL,-2221.8,60.07,-2281.87,Intraday
2025-10-24,10:15,SENSEX,BUY_PE,84400,111.01,222.02,84502.46,84502.46,0.523,0.417,True,TARGET,2200.25,54.97,2145.28,Intraday
2025-10-24,11:05,SENSEX,BUY_PE,84300,92.23,184.45,84453.85,84453.85,0.311,0.417,True,TARGET,1827.9,53.66,1774.25,Intraday
2025-10-27,10:00,SENSEX,BUY_CE,84700,268.92,385.2,84555.32,84555.32,1.317,0.422,True,EOD,2286.37,66.02,2220.35,Intraday
2025-10-27,10:05,SENSEX,BUY_CE,84800,237.88,332.89,84583.95,84583.95,1.668,0.421,True,EOD,1865.95,63.85,1802.1,Intraday
2025-10-28,10:00,SENSEX,BUY_PE,84600,139.14,278.27,84807.47,84807.47,0.001,0.42,True,TARGET,2757.67,56.94,2700.73,Intraday
2025-10-28,10:05,SENSEX,BUY_PE,84500,114.57,229.14,84784.32,84784.32,0.001,0.42,True,TARGET,2270.73,55.22,2215.51,Intraday
2025-10-29,10:10,SENSEX,BUY_CE,84800,192.07,330.31,84753.23,84753.23,3.16,0.429,True,EOD,2733.53,60.64,2672.88,Intraday
2025-10-29,10:20,SENSEX,BUY_CE,84800,193.93,331.16,84757.03,84757.03,1.596,0.429,True,EOD,2713.16,60.78,2652.39,Intraday
2025-10-30,09:55,SENSEX,BUY_PE,84500,69.7,139.41,84663.15,84663.15,0.647,0.424,True,TARGET,1381.52,52.08,1329.44,Intraday
2025-10-30,10:05,SENSEX,BUY_CE,84700,126.14,50.45,84653.17,84653.17,1.446,0.424,True,SL,-1524.22,56.03,-1580.25,Intraday
2025-10-31,10:00,SENSEX,BUY_PE,84500,120.87,241.73,84530.14,84530.14,0.294,0.425,True,TARGET,2395.55,55.66,2339.89,Intraday
2025-10-31,10:05,SENSEX,BUY_PE,84400,84.31,168.62,84521.37,84521.37,0.262,0.425,True,TARGET,1671.05,53.1,1617.95,Intraday
2025-11-03,10:00,SENSEX,BUY_CE,83900,297.22,388.23,83822.26,83822.26,2.076,0.438,True,EOD,1779.12,68.01,1711.11,Intraday
2025-11-03,10:35,SENSEX,BUY_CE,84000,258.19,333.89,83838.52,83838.52,529.0,0.437,True,EOD,1478.56,65.27,1413.28,Intraday
2025-11-04,10:35,SENSEX,BUY_PE,83800,209.78,385.39,83852.62,83852.62,0.976,0.443,True,EOD,3476.48,61.88,3414.6,Intraday
2025-11-04,10:55,SENSEX,BUY_CE,83800,304.47,121.79,83847.82,83847.82,1.043,0.443,True,SL,-3679.2,68.51,-3747.71,Intraday
2025-11-06,10:05,SENSEX,BUY_PE,83500,86.72,173.44,83656.13,83656.13,0.44,0.439,True,TARGET,1718.78,53.27,1665.51,Intraday
2025-11-06,10:10,SENSEX,BUY_PE,83400,62.12,124.24,83638.99,83638.99,0.434,0.44,True,TARGET,1231.26,51.55,1179.71,Intraday
2025-11-07,11:10,SENSEX,BUY_CE,83000,84.89,169.78,82814.97,82814.97,1.638,0.441,True,TARGET,1682.51,53.14,1629.37,Intraday
2025-11-07,11:30,SENSEX,BUY_CE,83100,62.77,125.54,82840.22,82840.22,540.0,0.44,True,TARGET,1244.07,51.59,1192.48,Intraday
2025-11-10,09:55,SENSEX,BUY_CE,83500,296.1,346.83,83410.87,83410.87,1.643,0.433,True,EOD,976.14,67.93,908.21,Intraday
2025-11-10,10:15,SENSEX,BUY_CE,83600,256.9,296.54,83425.7,83425.7,1.65,0.433,True,EOD,759.61,65.18,694.42,Intraday
2025-11-11,10:05,SENSEX,BUY_CE,83400,286.16,551.65,83393.21,83393.21,2.029,0.416,True,EOD,5259.62,67.23,5192.39,Intraday
2025-11-11,10:10,SENSEX,BUY_PE,83300,205.65,82.26,83388.04,83388.04,0.851,0.417,True,SL,-2485.03,61.6,-2546.63,Intraday
2025-11-12,11:05,SENSEX,BUY_CE,84500,169.51,202.35,84353.91,84353.91,2.061,0.426,True,EOD,634.62,59.07,575.55,Intraday
2025-11-12,11:20,SENSEX,BUY_CE,84500,173.26,202.81,84362.81,84362.81,1.313,0.426,True,EOD,568.41,59.33,509.08,Intraday
2025-11-13,11:00,SENSEX,BUY_CE,84700,75.63,151.25,84483.61,84483.61,6.675,0.389,True,TARGET,1498.9,52.49,1446.41,Intraday
2025-11-13,11:05,SENSEX,BUY_CE,84800,51.61,103.23,84492.52,84492.52,332.0,0.389,True,TARGET,1023.0,50.81,972.19,Intraday
2025-11-14,10:00,SENSEX,BUY_PE,84100,73.2,29.28,84269.14,84269.14,0.299,0.384,True,SL,-884.56,52.32,-936.88,Intraday
2025-11-14,10:50,SENSEX,BUY_CE,84300,124.5,49.8,84236.52,84236.52,1.012,0.383,True,SL,-1504.42,55.91,-1560.33,Intraday
2025-11-17,10:00,SENSEX,BUY_PE,84800,274.88,194.64,84756.31,84756.31,0.805,0.378,True,EOD,-1632.94,66.44,-1699.38,Intraday
2025-11-17,10:25,SENSEX,BUY_PE,84700,229.31,157.25,84754.41,84754.41,0.326,0.378,True,EOD,-1464.45,63.25,-1527.7,Intraday
