date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2021-04-28,SELL_PE,14755.175,14864.55,61.85,92.78,-534.36,-0.335,0.00132,-26.06,25.1,2
2021-04-28,SELL_PE,14755.175,14864.55,61.85,92.78,-534.36,-0.335,0.00132,-26.06,25.1,2
2021-04-29,SELL_PE,14807.682857142856,14894.9,39.83,0.05,946.23,-0.317,0.00185,-35.13,24.7,1
2021-04-29,SELL_PE,14807.682857142856,14894.9,39.83,0.05,946.23,-0.317,0.00185,-35.13,24.7,1
2021-05-06,SELL_PE,14638.987142857142,14724.8,34.81,52.21,-314.12,-0.306,0.00198,-31.83,22.9,1
2021-05-06,SELL_PE,14638.987142857142,14724.8,34.81,52.21,-314.12,-0.306,0.00198,-31.83,22.9,1
2021-05-11,SELL_CE,15000.75,14850.75,66.37,33.93,761.79,0.329,0.00116,-19.6,23.1,3
2021-05-12,SELL_CE,14796.5,14696.5,39.52,59.28,-352.51,0.316,0.00183,-18.13,17.9,2
2021-05-18,SELL_PE,14958.1,15108.1,42.11,19.38,520.02,-0.266,0.00127,-14.82,18.8,3
2021-05-20,SELL_CE,14986.05,14906.05,24.41,36.61,-229.43,0.288,0.0025,-24.02,17.5,1
2021-05-20,SELL_CE,14986.05,14906.05,24.41,36.61,-229.43,0.288,0.0025,-24.02,17.5,1
2021-05-27,SELL_PE,15257.85,15337.85,22.45,0.05,512.09,-0.269,0.00243,-23.16,16.9,1
2021-06-03,SELL_PE,15610.35,15690.35,16.01,0.05,351.27,-0.235,0.00266,-18.46,14.1,1
2021-06-03,SELL_PE,15610.35,15690.35,16.01,0.05,351.27,-0.235,0.00266,-18.46,14.1,1
2021-06-09,SELL_CE,15735.35,15635.35,28.43,42.65,-262.21,0.283,0.00208,-14.53,14.0,2
2021-06-16,SELL_CE,15867.55,15767.55,17.42,26.13,-172.56,0.233,0.00238,-10.48,11.0,2
2021-06-17,SELL_CE,15771.4,15691.4,8.79,0.05,171.03,0.187,0.00311,-12.09,10.5,1
2021-06-17,SELL_CE,15771.4,15691.4,8.79,0.05,171.03,0.187,0.00311,-12.09,10.5,1
2021-06-23,SELL_CE,15786.95,15686.95,9.18,13.77,-105.46,0.173,0.00257,-6.83,8.6,2
2021-07-20,SELL_CE,15782.1,15632.1,11.55,10.98,-33.08,0.158,0.00172,-6.07,9.9,3
2021-07-22,SELL_PE,15744.05,15824.05,8.69,13.03,-101.42,-0.178,0.00289,-12.24,10.9,1
2021-07-22,SELL_PE,15744.05,15824.05,8.69,13.03,-101.42,-0.178,0.00289,-12.24,10.9,1
2021-07-28,SELL_CE,15809.4,15709.4,15.49,3.24,258.56,0.222,0.00244,-9.69,10.5,2
2021-07-28,SELL_CE,15809.4,15709.4,15.49,3.24,258.56,0.222,0.00244,-9.69,10.5,2
2021-08-03,SELL_PE,15980.75,16130.75,18.34,27.52,-277.01,-0.186,0.00149,-8.54,12.3,3
2021-08-03,SELL_PE,15980.75,16130.75,18.34,27.52,-277.01,-0.186,0.00149,-8.54,12.3,3
2021-08-04,SELL_PE,16158.8,16258.8,21.47,6.02,338.42,-0.24,0.00206,-12.45,12.6,2
2021-08-04,SELL_PE,16158.8,16258.8,21.47,6.02,338.42,-0.24,0.00206,-12.45,12.6,2
