date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2024-04-04,BUY_PE_GAMMA,74200,74227.63,203.41,61.02,-1472.07,-0.469,0.00071,14.4,0
2024-04-18,BUY_PE_GAMMA,72500,72488.99,226.9,393.56,1618.29,-0.497,0.0007,15.1,0
2024-04-25,BUY_CE_GAMMA,74300,74339.44,258.23,477.24,2141.64,0.538,0.00069,14.9,0
2024-05-02,BUY_CE_GAMMA,74600,74611.11,255.52,295.37,350.03,0.518,0.00065,15.6,0
2024-05-09,BUY_PE_GAMMA,72400,72404.17,257.33,434.95,1727.75,-0.488,0.0006,17.6,0
2024-05-16,BUY_CE_GAMMA,73700,73663.72,240.68,363.25,1177.34,0.487,0.00063,16.4,0
2024-05-23,BUY_CE_GAMMA,75400,75418.04,287.73,515.05,2224.52,0.52,0.00058,17.3,0
2024-05-30,BUY_PE_GAMMA,73900,73885.6,252.37,344.51,872.97,-0.499,0.00063,16.3,0
2024-06-13,BUY_PE_GAMMA,76800,76810.9,692.31,1013.49,3161.06,-0.49,0.00023,43.9,0
2024-06-27,BUY_CE_GAMMA,79200,79243.18,742.35,1213.71,4662.68,0.517,0.00022,43.1,0
2024-07-04,BUY_PE_GAMMA,80000,80049.67,194.97,287.37,875.74,-0.454,0.0007,13.5,0
2024-07-18,BUY_CE_GAMMA,81300,81343.46,207.07,388.87,1769.78,0.553,0.00089,10.4,0
2024-07-25,BUY_CE_GAMMA,80000,80039.8,210.11,345.76,1308.22,0.548,0.00087,10.9,0
2024-08-08,BUY_PE_GAMMA,78900,78886.22,354.29,552.66,1934.71,-0.498,0.00045,21.5,0
2024-08-22,BUY_PE_GAMMA,81100,81053.19,411.22,455.95,398.05,-0.511,0.0004,23.3,0
2024-08-29,BUY_CE_GAMMA,82100,82134.61,403.55,519.69,1112.13,0.523,0.00042,22.1,0
2024-09-05,BUY_PE_GAMMA,82200,82201.16,218.79,342.23,1186.09,-0.488,0.0007,13.2,0
2024-09-12,BUY_CE_GAMMA,83000,82962.71,258.48,481.28,2179.49,0.488,0.00059,15.6,0
2024-09-19,BUY_PE_GAMMA,83200,83184.8,232.79,265.15,275.25,-0.499,0.00068,13.4,0
2024-09-26,BUY_CE_GAMMA,85800,85836.12,305.63,510.97,2004.65,0.531,0.00057,15.6,0
2024-10-03,BUY_PE_GAMMA,82500,82497.1,367.0,576.89,2049.88,-0.493,0.00043,21.6,0
2024-10-10,BUY_PE_GAMMA,81600,81611.41,355.38,520.97,1606.9,-0.487,0.00043,21.6,0
2024-10-17,BUY_PE_GAMMA,81000,81006.61,328.1,527.0,1940.22,-0.488,0.00047,20.0,0
2024-10-31,BUY_PE_GAMMA,79400,79389.06,224.54,360.72,1313.5,-0.496,0.0007,13.6,0
2024-11-07,BUY_PE_GAMMA,79500,79541.79,247.64,401.39,1489.01,-0.466,0.00058,16.5,0
2024-11-21,BUY_PE_GAMMA,77200,77155.79,284.66,366.54,770.19,-0.516,0.00059,16.7,0
2024-11-28,BUY_PE_GAMMA,79000,79043.74,360.48,598.61,2332.23,-0.474,0.00041,23.6,0
2024-12-05,BUY_CE_GAMMA,81800,81765.86,385.98,502.85,1119.55,0.495,0.0004,23.2,0
2024-12-12,BUY_PE_GAMMA,81300,81289.96,351.92,518.65,1618.34,-0.496,0.00045,20.9,0
2024-12-19,BUY_CE_GAMMA,79200,79218.05,394.37,153.03,-2462.66,0.516,0.00042,22.9,0
2025-01-02,BUY_CE_GAMMA,79900,79943.71,351.13,625.56,2695.38,0.531,0.00049,19.3,0
2025-01-09,BUY_PE_GAMMA,77600,77620.21,316.47,487.9,1665.52,-0.482,0.00048,20.6,0
2025-01-16,BUY_PE_GAMMA,77000,77042.82,293.78,341.19,425.43,-0.47,0.00049,20.0,0
2025-01-30,BUY_CE_GAMMA,76800,76759.81,287.55,318.04,256.34,0.488,0.00053,18.8,0
2025-02-06,BUY_PE_GAMMA,78100,78058.16,336.15,431.87,908.32,-0.512,0.00049,19.8,0
2025-03-13,BUY_PE_GAMMA,73800,73828.91,200.0,313.69,1088.67,-0.468,0.00072,14.3,0
2025-03-20,BUY_CE_GAMMA,76300,76348.06,322.76,524.93,1972.89,0.536,0.00054,18.3,0
2025-03-27,BUY_CE_GAMMA,77600,77606.43,319.09,518.66,1946.89,0.512,0.00051,19.1,0
2025-04-03,BUY_CE_GAMMA,76300,76295.36,310.89,505.44,1896.7,0.507,0.00052,19.2,0
2025-04-17,BUY_CE_GAMMA,78600,78553.2,504.73,891.94,3822.36,0.493,0.00031,31.8,0
2025-04-24,BUY_PE_GAMMA,79800,79801.43,509.59,752.52,2379.5,-0.492,0.00031,31.1,0
2025-05-08,BUY_PE_GAMMA,80300,80334.81,434.68,585.59,1459.81,-0.48,0.00035,27.4,0
2025-05-15,BUY_CE_GAMMA,82500,82530.74,493.67,867.84,3692.0,0.518,0.00034,27.3,0
2025-05-22,BUY_PE_GAMMA,81000,80951.99,471.56,561.39,848.82,-0.509,0.00035,26.9,0
2025-06-05,BUY_CE_GAMMA,81400,81442.04,487.79,167.79,-3249.64,0.522,0.00035,27.0,0
2025-06-12,BUY_PE_GAMMA,81700,81691.98,246.11,425.41,1744.61,-0.494,0.00064,14.6,0
2025-06-26,BUY_CE_GAMMA,83800,83755.87,258.85,427.16,1634.61,0.485,0.00058,15.6,0
2025-07-03,BUY_PE_GAMMA,83200,83239.47,238.58,353.27,1098.54,-0.466,0.0006,15.2,0
2025-07-10,BUY_PE_GAMMA,83200,83190.28,235.27,371.01,1308.99,-0.495,0.00067,13.7,0
2025-07-17,BUY_PE_GAMMA,82300,82259.24,247.63,407.69,1552.21,-0.516,0.00068,13.6,0
2025-07-24,BUY_PE_GAMMA,82200,82184.17,179.08,310.78,1268.96,-0.5,0.00089,10.4,0
2025-07-31,BUY_CE_GAMMA,81200,81185.58,195.29,273.92,738.15,0.501,0.00082,11.5,0
2025-08-07,BUY_CE_GAMMA,80600,80623.26,222.46,358.97,1316.76,0.531,0.00078,12.1,0
2025-08-21,BUY_PE_GAMMA,82000,82000.71,225.7,340.15,1096.1,-0.488,0.00068,13.6,0
2025-08-28,BUY_PE_GAMMA,80100,80080.57,242.1,407.17,1602.32,-0.502,0.00066,14.3,0
2025-09-04,BUY_PE_GAMMA,80700,80718.01,225.07,386.0,1560.92,-0.477,0.00066,14.3,0
2025-09-11,BUY_CE_GAMMA,81500,81548.73,241.76,394.97,1483.67,0.549,0.00076,12.3,0
2025-09-18,BUY_PE_GAMMA,83000,83013.96,197.12,59.14,-1428.01,-0.477,0.00075,12.2,0
2025-09-25,BUY_PE_GAMMA,81200,81159.68,189.51,316.86,1225.36,-0.522,0.0009,10.4,0
2025-10-09,BUY_CE_GAMMA,82200,82172.1,197.34,302.15,999.89,0.491,0.00078,11.9,0
2025-10-16,BUY_CE_GAMMA,83500,83467.66,219.14,370.55,1465.86,0.489,0.0007,13.1,0
2025-10-23,BUY_PE_GAMMA,84600,84556.4,235.46,395.97,1556.69,-0.519,0.00072,12.5,0
2025-10-30,BUY_PE_GAMMA,84400,84404.46,188.08,290.45,975.6,-0.483,0.0008,11.2,0
2025-11-06,BUY_PE_GAMMA,83300,83311.01,192.38,285.57,883.74,-0.479,0.00077,11.8,0
2025-11-20,BUY_CE_GAMMA,85600,85632.68,213.7,241.53,230.08,0.541,0.00084,10.6,0
2025-12-04,BUY_CE_GAMMA,85300,85265.32,181.3,223.03,369.28,0.485,0.00083,10.7,0
2025-12-11,BUY_CE_GAMMA,84800,84818.13,226.59,362.25,1308.29,0.526,0.00076,11.8,0
2026-01-08,BUY_PE_GAMMA,84200,84180.96,199.03,339.55,1356.97,-0.502,0.00081,11.2,0
2026-01-29,BUY_CE_GAMMA,82600,82566.37,225.16,250.0,200.11,0.489,0.00068,13.6,0
2026-02-05,BUY_PE_GAMMA,83300,83313.93,374.96,568.72,1888.55,-0.486,0.00041,22.4,0
2026-02-12,BUY_PE_GAMMA,83700,83674.92,389.67,446.17,515.8,-0.502,0.00041,22.0,0
