date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2022-09-13,SELL_PE,60112.449,60571.08,193.57,106.64,819.96,-0.305,0.00036,-60.8,17.9,3
2022-09-14,SELL_CE,60646.97892857143,60346.97,198.82,298.24,-678.31,0.366,0.00047,-78.93,17.9,2
2022-09-14,SELL_CE,60646.97892857143,60346.97,198.82,298.24,-678.31,0.366,0.00047,-78.93,17.9,2
2022-09-14,SELL_CE,60646.97892857143,60346.97,198.82,298.24,-678.31,0.366,0.00047,-78.93,17.9,2
2022-09-20,SELL_PE,59239.879499999995,59719.74,191.48,104.11,824.32,-0.3,0.00035,-60.97,18.4,3
2022-09-20,SELL_PE,59239.879499999995,59719.74,191.48,104.11,824.32,-0.3,0.00035,-60.97,18.4,3
2022-09-20,SELL_PE,59239.879499999995,59719.74,191.48,104.11,824.32,-0.3,0.00035,-60.97,18.4,3
2022-09-21,SELL_CE,59770.77285714286,59456.78,199.19,298.78,-679.5,0.362,0.00046,-79.91,18.5,2
2022-09-21,SELL_CE,59770.77285714286,59456.78,199.19,298.78,-679.5,0.362,0.00046,-79.91,18.5,2
2022-09-22,SELL_CE,59363.38342857143,59119.72,132.21,198.32,-461.33,0.345,0.00064,-109.7,18.6,1
2022-09-22,SELL_CE,59363.38342857143,59119.72,132.21,198.32,-461.33,0.345,0.00064,-109.7,18.6,1
2022-09-22,SELL_CE,59363.38342857143,59119.72,132.21,198.32,-461.33,0.345,0.00064,-109.7,18.6,1
2022-09-26,SELL_CE,57674.838285714286,57145.22,293.23,439.85,-1516.66,0.352,0.0003,-61.46,20.9,4
2022-09-26,SELL_CE,57674.838285714286,57145.22,293.23,439.85,-1516.66,0.352,0.0003,-61.46,20.9,4
2022-09-26,SELL_CE,57674.838285714286,57145.22,293.23,439.85,-1516.66,0.352,0.0003,-61.46,20.9,4
2022-09-28,SELL_CE,56943.15607142857,56598.28,143.84,215.76,-499.22,0.322,0.00052,-65.12,16.5,2
2022-09-28,SELL_CE,56943.15607142857,56598.28,143.84,215.76,-499.22,0.322,0.00052,-65.12,16.5,2
2022-09-28,SELL_CE,56943.15607142857,56598.28,143.84,215.76,-499.22,0.322,0.00052,-65.12,16.5,2
2022-09-29,SELL_CE,56695.32971428571,56409.96,81.02,121.53,-294.58,0.28,0.00072,-81.7,15.9,1
2022-10-04,SELL_PE,57461.723,58065.47,182.57,92.55,850.93,-0.274,0.00031,-62.54,20.4,3
2022-10-04,SELL_PE,57461.723,58065.47,182.57,92.55,850.93,-0.274,0.00031,-62.54,20.4,3
2022-10-06,SELL_PE,57895.34828571428,58222.1,115.23,0.05,1103.29,-0.292,0.00055,-110.21,20.5,1
2022-10-06,SELL_PE,57895.34828571428,58222.1,115.23,0.05,1103.29,-0.292,0.00055,-110.21,20.5,1
2022-10-06,SELL_PE,57895.34828571428,58222.1,115.23,0.05,1103.29,-0.292,0.00055,-110.21,20.5,1
2022-10-10,SELL_CE,58586.298571428575,57991.11,255.11,154.05,960.54,0.327,0.0003,-57.6,19.8,4
2022-10-11,SELL_CE,57666.587,57147.32,220.89,331.33,-1154.11,0.325,0.00034,-66.27,20.3,3
2022-10-18,SELL_PE,58443.4085,58960.6,215.43,118.13,923.36,-0.305,0.00032,-67.28,20.5,3
2022-10-18,SELL_PE,58443.4085,58960.6,215.43,118.13,923.36,-0.305,0.00032,-67.28,20.5,3
2022-10-18,SELL_PE,58443.4085,58960.6,215.43,118.13,923.36,-0.305,0.00032,-67.28,20.5,3
2022-10-19,SELL_PE,58750.42892857143,59107.19,193.34,84.4,1040.06,-0.331,0.00041,-83.34,20.1,2
2022-10-20,SELL_CE,59480.03057142857,59202.9,137.88,0.13,1328.73,0.336,0.00059,-117.04,20.1,1
2022-10-24,SELL_PE,59362.36628571429,59831.66,254.29,163.34,859.43,-0.327,0.00031,-56.47,18.7,4
2022-10-25,SELL_CE,59926.8995,59543.96,224.36,336.55,-1171.55,0.357,0.0004,-61.85,17.3,3
2022-10-31,SELL_PE,60307.06257142857,60746.59,227.63,341.45,-1187.92,-0.323,0.00033,-51.63,16.9,4
2022-10-31,SELL_PE,60307.06257142857,60746.59,227.63,341.45,-1187.92,-0.323,0.00033,-51.63,16.9,4
2022-11-01,SELL_PE,60747.743,61121.35,181.74,103.41,734.01,-0.318,0.00041,-55.48,15.8,3
2022-11-01,SELL_PE,60747.743,61121.35,181.74,103.41,734.01,-0.318,0.00041,-55.48,15.8,3
2022-11-01,SELL_PE,60747.743,61121.35,181.74,103.41,734.01,-0.318,0.00041,-55.48,15.8,3
2022-11-03,SELL_CE,61028.68428571429,60836.41,85.27,0.05,804.02,0.327,0.0009,-75.67,12.6,1
2022-11-03,SELL_CE,61028.68428571429,60836.41,85.27,0.05,804.02,0.327,0.0009,-75.67,12.6,1
2022-11-03,SELL_CE,61028.68428571429,60836.41,85.27,0.05,804.02,0.327,0.0009,-75.67,12.6,1
2022-11-07,SELL_PE,60814.97685714286,61185.15,153.85,230.78,-818.19,-0.3,0.00043,-38.16,12.5,4
2022-11-10,SELL_CE,60799.37314285714,60613.7,67.61,101.42,-250.92,0.307,0.00102,-63.89,10.9,1
2022-11-10,SELL_CE,60799.37314285714,60613.7,67.61,101.42,-250.92,0.307,0.00102,-63.89,10.9,1
2022-11-10,SELL_CE,60799.37314285714,60613.7,67.61,101.42,-250.92,0.307,0.00102,-63.89,10.9,1
2022-11-16,SELL_PE,61740.756785714286,61980.72,103.04,154.56,-366.3,-0.306,0.00067,-49.33,11.4,2
2022-11-21,SELL_CE,61522.74914285714,61144.84,174.65,105.95,637.82,0.338,0.00047,-39.49,12.3,4
2022-11-23,SELL_PE,61280.487857142856,61510.58,113.28,48.53,599.01,-0.32,0.00066,-52.06,11.9,2
2022-11-23,SELL_PE,61280.487857142856,61510.58,113.28,48.53,599.01,-0.32,0.00066,-52.06,11.9,2
2022-11-23,SELL_PE,61280.487857142856,61510.58,113.28,48.53,599.01,-0.32,0.00066,-52.06,11.9,2
2022-11-24,SELL_PE,62090.807714285715,62272.68,82.7,124.05,-300.06,-0.315,0.00088,-75.38,12.4,1
2022-11-24,SELL_PE,62090.807714285715,62272.68,82.7,124.05,-300.06,-0.315,0.00088,-75.38,12.4,1
2022-11-24,SELL_PE,62090.807714285715,62272.68,82.7,124.05,-300.06,-0.315,0.00088,-75.38,12.4,1
2022-11-28,SELL_PE,62124.125714285714,62504.8,154.11,231.16,-819.46,-0.298,0.00043,-38.53,12.4,4
2022-11-29,SELL_PE,62346.026,62681.84,116.11,61.51,497.47,-0.284,0.00052,-40.11,11.5,3
2022-11-30,SELL_PE,62860.38142857143,63099.65,108.68,163.02,-384.68,-0.312,0.00066,-51.19,11.5,2
2022-11-30,SELL_PE,62860.38142857143,63099.65,108.68,163.02,-384.68,-0.312,0.00066,-51.19,11.5,2
2022-11-30,SELL_PE,62860.38142857143,63099.65,108.68,163.02,-384.68,-0.312,0.00066,-51.19,11.5,2
2022-12-01,SELL_PE,63086.16457142858,63284.19,67.65,0.05,628.09,-0.287,0.00091,-67.25,11.3,1
2022-12-01,SELL_PE,63086.16457142858,63284.19,67.65,0.05,628.09,-0.287,0.00091,-67.25,11.3,1
2022-12-01,SELL_PE,63086.16457142858,63284.19,67.65,0.05,628.09,-0.287,0.00091,-67.25,11.3,1
2022-12-12,SELL_CE,62529.858,62130.57,98.36,51.77,417.56,0.274,0.00057,-27.41,9.0,4
2022-12-13,SELL_PE,62175.40700000001,62533.3,68.36,102.54,-389.78,-0.225,0.00057,-28.68,9.2,3
2022-12-13,SELL_PE,62175.40700000001,62533.3,68.36,102.54,-389.78,-0.225,0.00057,-28.68,9.2,3
2022-12-14,SELL_PE,62418.69571428572,62677.91,65.6,22.02,387.84,-0.254,0.00075,-37.21,9.2,2
2022-12-14,SELL_PE,62418.69571428572,62677.91,65.6,22.02,387.84,-0.254,0.00075,-37.21,9.2,2
2022-12-15,SELL_CE,61990.17057142857,61799.03,68.87,103.31,-255.01,0.306,0.00099,-65.27,10.9,1
2022-12-15,SELL_CE,61990.17057142857,61799.03,68.87,103.31,-255.01,0.306,0.00099,-65.27,10.9,1
2022-12-15,SELL_CE,61990.17057142857,61799.03,68.87,103.31,-255.01,0.306,0.00099,-65.27,10.9,1
2022-12-20,SELL_CE,62061.3085,61702.29,118.49,59.12,545.15,0.302,0.00056,-39.35,11.1,3
2022-12-21,SELL_PE,60809.97464285714,61067.24,102.59,40.92,568.3,-0.3,0.00065,-49.93,11.9,2
2022-12-21,SELL_PE,60809.97464285714,61067.24,102.59,40.92,568.3,-0.3,0.00065,-49.93,11.9,2
2022-12-21,SELL_CE,61324.50535714286,61067.24,117.13,175.7,-412.22,0.332,0.00068,-52.35,11.9,2
2022-12-22,SELL_CE,61051.14028571429,60826.22,54.25,81.38,-207.4,0.265,0.00097,-58.21,10.6,1
2022-12-22,SELL_CE,61051.14028571429,60826.22,54.25,81.38,-207.4,0.265,0.00097,-58.21,10.6,1
2022-12-22,SELL_CE,61051.14028571429,60826.22,54.25,81.38,-207.4,0.265,0.00097,-58.21,10.6,1
2022-12-26,SELL_PE,60076.13657142857,60566.42,134.97,202.46,-723.57,-0.261,0.00038,-37.28,13.4,4
2022-12-29,SELL_PE,60860.80142857142,61133.88,63.09,94.63,-236.17,-0.249,0.00075,-69.83,13.2,1
2022-12-29,SELL_CE,61406.95857142857,61133.88,69.34,0.05,644.94,0.269,0.00078,-72.73,13.2,1
2022-12-29,SELL_CE,61406.95857142857,61133.88,69.34,0.05,644.94,0.269,0.00078,-72.73,13.2,1
2023-01-04,SELL_CE,61001.90107142857,60657.45,121.93,182.9,-427.86,0.306,0.00056,-58.29,14.0,2
2023-01-04,SELL_CE,61001.90107142857,60657.45,121.93,182.9,-427.86,0.306,0.00056,-58.29,14.0,2
