date,symbol,type,strike,entry,exit,spot_entry,pcr,vwap,gross_pnl,costs,net_pnl,version,tolerance,has_oi,position_scale
2024-12-31,SENSEX,BUY_PE,78100,187.56974762841855,336.80348049129464,78484.64288888889,0.8695652173913043,78484.64288888889,2953.21,60.33,2892.88,V1,,,
2025-01-02,SENSEX,BUY_CE,79900,73.80631496765818,139.09894965469022,78691.91089990818,1.296551724137931,78691.91089990818,1293.08,52.37,1240.71,V1,,,
2025-01-03,SENSEX,BUY_CE,79200,292.7275099665567,482.15648190719287,78889.01869198313,3.0786516853932584,78889.01869198313,3742.09,67.69,3674.4,V1,,,
2025-01-06,SENSEX,BUY_PE,78000,132.81870847965183,231.80343092016454,78847.67590408806,0.9949494949494949,78847.67590408806,1957.82,56.5,1901.32,V1,,,
2025-01-09,SENSEX,BUY_PE,77600,138.5842332628854,239.66730699318254,78433.99028571429,0.5487804878048781,78433.99028571429,1998.97,56.9,1942.07,V1,,,
2025-01-10,SENSEX,BUY_PE,77400,191.14385011434206,320.03886658831243,78015.43193848354,0.23737373737373738,78015.43193848354,2547.23,60.58,2486.65,V1,,,
2025-01-15,SENSEX,BUY_PE,76700,324.06021631047406,386.3677016577398,76873.45992022792,0.4307692307692308,76873.45992022792,1203.52,69.88,1133.64,V1,,,
2025-01-17,SENSEX,BUY_PE,76600,351.2555274467595,380.6389906153037,76684.80346341463,0.38620689655172413,76684.80346341463,543.76,71.79,471.97,V1,,,
2025-01-21,SENSEX,BUY_PE,75800,121.72176423424753,216.56483616201658,76600.19927401503,0.9035369774919614,76600.19927401503,1876.56,55.72,1820.84,V1,,,
2025-01-22,SENSEX,BUY_PE,76400,358.99089530220954,562.7096525237639,76502.95164331209,0.1765625,76502.95164331209,4019.07,72.33,3946.74,V1,,,
2025-01-24,SENSEX,BUY_PE,76200,311.23588160380314,400.5474033095654,76411.64357323232,0.903755868544601,76411.64357323232,1743.52,68.99,1674.54,V1,,,
