date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2021-08-09,BUY_PE_GAMMA,725,725.85,11.3,3.92,-46144830.38,-0.48,26.4,6
2021-08-10,BUY_CE_GAMMA,735,734.2,10.6,12.64,12721061.75,0.495,26.7,5
2021-08-12,BUY_PE_GAMMA,730,730.7,10.49,12.56,12927504.46,-0.482,26.5,5
2021-08-16,BUY_PE_GAMMA,725,726.25,9.59,11.45,11608515.59,-0.473,25.1,5
2021-08-17,BUY_PE_GAMMA,710,709.7,10.86,18.38,46925176.87,-0.496,27.0,5
2021-08-20,BUY_CE_GAMMA,700,700.25,9.96,15.94,37336802.43,0.511,25.1,5
2021-08-23,BUY_CE_GAMMA,710,709.1,9.41,11.08,10443711.47,0.492,24.8,5
2021-08-24,BUY_CE_GAMMA,715,713.4,9.29,10.71,8814910.37,0.481,25.2,5
2021-08-27,BUY_CE_GAMMA,715,715.5,10.1,3.65,-40350662.24,0.515,24.6,5
2021-08-31,BUY_PE_GAMMA,720,718.5,15.43,22.54,44380304.04,-0.505,23.6,12
2021-09-01,BUY_PE_GAMMA,710,709.0,16.3,27.39,69269461.24,-0.498,23.8,14
2021-09-07,BUY_PE_GAMMA,710,711.4,11.0,12.7,10616872.16,-0.472,23.2,8
2021-09-09,BUY_CE_GAMMA,715,716.7,11.23,13.84,16318135.56,0.533,23.6,6
2021-09-10,BUY_CE_GAMMA,740,740.5,11.85,23.96,75657005.9,0.514,28.0,5
2021-09-15,BUY_CE_GAMMA,735,734.0,10.02,16.8,42348956.27,0.492,25.6,5
2021-09-16,BUY_PE_GAMMA,720,721.8,9.54,15.83,39259960.94,-0.465,25.8,5
2021-09-20,BUY_PE_GAMMA,705,704.95,10.35,17.21,42825653.99,-0.493,26.2,5
2021-09-21,BUY_PE_GAMMA,695,695.4,10.17,14.63,27872352.92,-0.486,26.6,5
2021-09-23,BUY_CE_GAMMA,715,713.0,11.01,12.15,7137397.68,0.481,30.0,5
2021-10-01,BUY_CE_GAMMA,710,709.5,18.84,31.31,77917844.14,0.508,28.8,14
2021-10-11,BUY_CE_GAMMA,740,740.5,11.25,19.44,51208708.29,0.514,26.5,5
2021-10-21,BUY_PE_GAMMA,765,765.0,13.25,23.2,62158065.79,-0.491,30.9,5
2021-10-26,BUY_PE_GAMMA,760,759.85,13.3,15.63,14534113.96,-0.493,31.1,5
2021-10-27,BUY_PE_GAMMA,740,740.4,13.64,22.0,52200014.19,-0.486,33.4,5
2021-11-03,BUY_PE_GAMMA,730,728.8,22.09,35.5,83803456.54,-0.493,34.0,12
2021-11-08,BUY_CE_GAMMA,740,738.75,15.34,17.19,11555532.6,0.498,32.6,7
2021-11-10,BUY_PE_GAMMA,730,729.0,12.23,14.21,12350364.87,-0.505,28.7,5
2021-11-12,BUY_CE_GAMMA,745,744.7,10.04,15.88,36487216.47,0.502,24.4,5
2021-11-15,BUY_PE_GAMMA,740,739.0,10.65,12.32,10385341.23,-0.508,24.5,5
2021-11-16,BUY_PE_GAMMA,735,733.35,10.94,18.78,48965268.31,-0.519,24.6,5
2021-11-19,BUY_CE_GAMMA,735,734.45,9.02,13.69,29178553.0,0.496,22.6,5
2021-11-22,BUY_CE_GAMMA,735,735.75,9.68,11.47,11175953.78,0.519,22.6,5
2021-11-24,BUY_CE_GAMMA,740,742.05,9.25,15.74,40552346.55,0.545,19.7,5
2021-11-26,BUY_PE_GAMMA,730,728.0,9.84,16.64,42532495.23,-0.53,21.6,5
2021-12-02,BUY_CE_GAMMA,725,725.8,14.03,16.36,14566076.18,0.518,20.8,13
2021-12-03,BUY_PE_GAMMA,720,722.25,11.63,13.39,10954320.78,-0.462,20.4,12
2021-12-06,BUY_CE_GAMMA,735,733.2,10.97,16.73,35960172.38,0.483,21.5,9
2021-12-07,BUY_CE_GAMMA,735,734.8,10.91,3.27,-47759905.61,0.504,21.2,8
2021-12-09,BUY_PE_GAMMA,735,735.1,9.58,11.26,10431246.88,-0.491,21.4,6
2021-12-10,BUY_PE_GAMMA,730,730.45,8.3,12.07,23573190.93,-0.485,20.8,5
2021-12-13,BUY_PE_GAMMA,730,731.6,7.55,11.08,22019123.68,-0.463,20.4,5
2021-12-16,BUY_CE_GAMMA,740,741.95,8.81,14.66,36546051.03,0.544,18.8,5
2021-12-21,BUY_CE_GAMMA,745,745.85,7.91,12.24,27076654.96,0.523,17.9,5
2021-12-22,BUY_CE_GAMMA,750,750.0,7.57,11.8,26421039.67,0.505,18.0,5
2021-12-24,BUY_CE_GAMMA,755,757.35,8.99,14.87,36732137.96,0.553,18.3,5
2021-12-29,BUY_PE_GAMMA,760,758.3,12.33,15.42,19284597.59,-0.515,16.1,14
2021-12-30,BUY_PE_GAMMA,755,754.3,11.31,16.69,33617766.64,-0.502,16.1,13
2021-12-31,BUY_PE_GAMMA,740,740.1,11.78,19.75,49827365.59,-0.49,18.5,12
2022-05-05,BUY_PE_GAMMA,760,762.0,11.69,21.02,58272359.32,-0.466,21.0,10
2022-05-09,BUY_PE_GAMMA,755,755.4,9.61,2.97,-41519167.21,-0.486,21.2,6
2022-05-12,BUY_PE_GAMMA,745,744.8,9.1,12.75,22773952.32,-0.497,21.6,5
2022-05-13,BUY_CE_GAMMA,755,753.0,8.35,12.46,25663820.98,0.472,22.1,5
2022-05-16,BUY_CE_GAMMA,760,759.55,9.24,14.62,33606216.61,0.498,22.3,5
2022-05-17,BUY_CE_GAMMA,765,766.2,10.07,11.51,8985260.9,0.526,22.1,5
2022-05-18,BUY_PE_GAMMA,755,755.8,9.32,14.12,29998292.07,-0.48,23.0,5
2022-05-19,BUY_CE_GAMMA,770,770.5,10.8,16.75,37166800.5,0.514,24.5,5
2022-05-20,BUY_CE_GAMMA,775,772.55,9.27,10.82,9692093.51,0.469,24.1,5
2022-05-23,BUY_CE_GAMMA,785,782.75,9.43,14.39,30960410.18,0.472,24.0,5
2022-05-24,BUY_CE_GAMMA,780,781.75,11.33,17.34,37586838.75,0.533,23.9,5
2022-05-25,BUY_CE_GAMMA,780,780.6,10.54,15.96,33821939.85,0.515,23.4,5
2022-05-26,BUY_PE_GAMMA,770,770.45,10.2,15.54,33398771.86,-0.486,24.2,5
2022-05-31,BUY_CE_GAMMA,790,789.0,12.4,18.85,40323798.49,0.495,18.8,12
2022-06-02,BUY_CE_GAMMA,805,806.3,15.83,32.35,103211560.08,0.522,20.9,13
2022-06-08,BUY_CE_GAMMA,795,796.7,11.88,13.11,7687549.35,0.531,20.9,7
2022-06-09,BUY_PE_GAMMA,790,787.55,11.83,19.17,45845700.61,-0.53,21.8,6
2022-06-10,BUY_PE_GAMMA,775,776.05,8.87,13.9,31429044.94,-0.476,21.6,5
2022-06-13,BUY_PE_GAMMA,765,764.0,10.17,15.02,30329834.92,-0.51,22.6,5
2022-06-16,BUY_PE_GAMMA,750,751.0,9.02,12.45,21395224.19,-0.477,22.6,5
2022-06-22,BUY_PE_GAMMA,730,730.0,8.59,11.68,19241288.67,-0.494,21.0,5
2022-06-23,BUY_PE_GAMMA,695,695.9,10.82,19.2,52372668.31,-0.479,28.9,5
2022-06-28,BUY_CE_GAMMA,700,702.3,20.47,23.31,17705870.44,0.531,28.4,15
2022-07-04,BUY_PE_GAMMA,675,674.55,14.91,5.9,-56342821.94,-0.493,26.2,11
2022-07-05,BUY_PE_GAMMA,650,652.05,13.7,24.03,64550332.48,-0.466,28.5,10
2022-07-11,BUY_PE_GAMMA,650,649.5,12.3,16.35,25306705.66,-0.497,33.1,5
2022-07-12,BUY_PE_GAMMA,625,627.0,11.3,19.28,49895384.67,-0.464,35.0,5
2022-07-14,BUY_PE_GAMMA,615,614.1,13.34,22.36,56351827.97,-0.5,37.5,5
2022-07-15,BUY_CE_GAMMA,615,616.15,13.42,16.43,18803845.68,0.524,37.3,5
2022-07-26,BUY_PE_GAMMA,630,630.0,12.72,19.37,41519440.87,-0.489,36.1,5
2022-08-04,BUY_CE_GAMMA,645,646.95,17.71,22.05,27117792.38,0.53,31.2,11
2022-08-05,BUY_CE_GAMMA,655,656.9,16.03,19.96,24533728.44,0.531,29.0,10
2022-08-08,BUY_CE_GAMMA,665,663.2,11.99,19.52,47057986.77,0.487,29.3,7
2022-08-10,BUY_CE_GAMMA,670,669.7,8.31,13.6,33044285.15,0.5,22.6,5
2022-08-12,BUY_PE_GAMMA,675,676.3,5.8,6.86,6596132.89,-0.463,17.0,5
2022-08-16,BUY_PE_GAMMA,665,666.85,6.2,2.22,-24855926.26,-0.453,19.0,5
2022-08-17,BUY_PE_GAMMA,660,660.9,6.03,7.36,8268233.78,-0.473,17.5,5
2022-08-22,BUY_PE_GAMMA,670,670.7,6.14,7.73,9973494.09,-0.478,17.3,5
2022-08-25,BUY_CE_GAMMA,675,676.5,7.65,12.55,30572557.17,0.539,18.2,5
2022-08-26,BUY_PE_GAMMA,675,673.9,7.53,11.32,23672709.72,-0.519,18.5,5
2022-08-30,BUY_PE_GAMMA,655,656.0,11.49,17.29,36205939.48,-0.476,20.3,13
2022-09-01,BUY_PE_GAMMA,635,633.4,16.17,28.06,74276840.8,-0.503,25.9,14
2022-09-05,BUY_CE_GAMMA,640,640.7,13.64,21.81,51054062.56,0.518,26.2,10
2022-09-08,BUY_CE_GAMMA,655,654.0,11.52,19.31,48666561.3,0.495,27.7,7
2022-09-15,BUY_PE_GAMMA,645,646.0,9.17,12.12,18429392.6,-0.476,26.7,5
2022-09-16,BUY_CE_GAMMA,650,651.5,10.21,15.92,35686032.16,0.532,25.9,5
2022-09-20,BUY_PE_GAMMA,645,646.3,8.7,12.63,24569292.73,-0.47,25.8,5
2022-09-21,BUY_PE_GAMMA,645,643.05,10.29,15.38,31746873.74,-0.526,25.8,5
2022-09-22,BUY_CE_GAMMA,650,652.5,11.05,14.37,20694730.46,0.548,26.8,5
2022-09-23,BUY_PE_GAMMA,630,630.8,10.09,18.44,52177814.54,-0.479,29.7,5
2022-09-27,BUY_PE_GAMMA,620,621.4,9.64,13.67,25169442.3,-0.47,29.7,5
2022-09-28,BUY_CE_GAMMA,635,635.7,19.78,33.24,84067016.32,0.52,31.6,15
