date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2021-08-24,BUY_CE_GAMMA,63500,63540.0,1142.15,1803.7,595047.99,0.514,31.6,5
2021-08-25,BUY_CE_GAMMA,63500,63255.0,998.06,1100.13,91558.43,0.474,31.5,5
2021-08-26,BUY_PE_GAMMA,62500,62720.0,881.34,990.17,97670.2,-0.456,28.2,5
2021-08-27,BUY_CE_GAMMA,64000,63751.0,944.43,1446.96,451988.43,0.471,29.8,5
2021-08-31,BUY_PE_GAMMA,63000,63069.0,1594.0,1971.1,338927.09,-0.479,29.8,12
2021-09-01,BUY_CE_GAMMA,63500,63633.0,1874.2,2998.49,1011323.55,0.525,30.4,14
2021-09-07,BUY_PE_GAMMA,64500,64646.0,1157.84,1514.19,320368.13,-0.471,26.9,8
2021-09-08,BUY_PE_GAMMA,64000,64150.0,1082.66,1363.37,252310.82,-0.47,27.2,7
2021-09-10,BUY_PE_GAMMA,63500,63599.0,828.2,1251.46,380679.08,-0.475,24.6,5
2021-09-16,BUY_PE_GAMMA,61000,61099.0,950.07,1853.86,813112.76,-0.476,29.2,5
2021-09-21,BUY_CE_GAMMA,60500,60360.0,905.13,1210.66,274693.95,0.485,28.8,5
2021-09-23,BUY_CE_GAMMA,61000,60842.0,934.02,1033.63,89358.11,0.483,29.6,5
2021-09-24,BUY_PE_GAMMA,60000,59920.0,1011.81,1388.21,338454.28,-0.505,28.9,5
2021-09-29,BUY_PE_GAMMA,58500,58350.0,1869.43,3407.37,1383612.61,-0.497,32.8,14
2021-10-04,BUY_CE_GAMMA,61000,60940.0,1584.0,1826.3,217610.86,0.506,31.9,11
2021-10-06,BUY_CE_GAMMA,61000,61043.0,1474.78,2172.16,627209.63,0.516,31.7,9
2021-10-08,BUY_CE_GAMMA,62000,61797.0,1216.78,1638.47,379154.61,0.486,32.1,7
2021-10-13,BUY_CE_GAMMA,63000,62840.0,1096.03,1845.63,674306.77,0.487,33.3,5
2021-10-14,BUY_CE_GAMMA,63500,63570.0,1069.65,1780.91,639807.16,0.518,29.1,5
2021-10-19,BUY_CE_GAMMA,64500,64424.0,970.46,1296.48,293124.61,0.495,27.9,5
2021-10-22,BUY_CE_GAMMA,65500,65620.0,1075.42,322.63,-677841.57,0.526,27.6,5
2021-10-26,BUY_PE_GAMMA,65000,65014.0,1053.16,1830.75,699513.72,-0.489,29.1,5
2021-11-01,BUY_CE_GAMMA,65000,64770.0,1136.8,1298.09,144810.49,0.479,20.6,14
