timestamp,strategy,commodity,type,strike,premium,spot,reason
2026-02-23T14:09:47.955558,CPR,SILVERM,BUY_CE_CPR,265500,9958.016857623794,265602.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:09:47.955558,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:09:47.955558,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:11:10.788891,CPR,GOLDM,BUY_CE_CPR,159100,5610.4955030515885,159061.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:11:10.788891,CPR,SILVERM,BUY_CE_CPR,265500,9958.016857623794,265602.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:11:10.788891,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:11:10.788891,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:12:10.154918,CPR,GOLDM,BUY_CE_CPR,159000,5624.653526112564,159000.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:12:10.156020,CPR,SILVERM,BUY_CE_CPR,265500,9783.739688027275,265265.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:12:10.156020,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:12:10.156020,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:13:17.211132,CPR,GOLDM,BUY_CE_CPR,159000,5612.95788283012,158979.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:13:17.211132,CPR,SILVERM,BUY_CE_CPR,265000,9912.353138441542,265050.0,Narrow CPR (0.038%) bullish breakout
